RG;CLUSTER;LTPOD
TIVBENOWO-TIVSUKOREJO PASURUAN;KOTA SURABAYA;2
TIVCAKUNG-TIVPANDAAN(1P);JABODETABEK;6
TIVGEMPOL-TIVPANDAAN PETUNG;JAWA TIMUR;3
TIVGEMPOL-TIVPANDAAN PETUNG;KOTA SURABAYA;2
TIVGRESIK-TIVPOLANHARJO;JAWA TENGAH;5
TIVKALIWATES-TIVPANDAAN PETUNG(BL);JAWA TIMUR;3
TIVKEBOMAS(1P)-TIVPOLANHARJO;;5
TIVKEBOMAS(PP)-TIVPOLANHARJO;;5
TIVKEBOMAS-TIVBEJI PASURUAN;JAWA TIMUR;3
TIVKEBOMAS-TIVCIKARANG PUSAT;JABODETABEK;6
TIVKEBOMAS-TIVGEDANGAN;JAWA TIMUR;3
TIVKEBOMAS-TIVGEDANGAN;KOTA SURABAYA;2
TIVKEBOMAS-TIVGEMPOL;KOTA SURABAYA;2
TIVKEBOMAS-TIVKLATEN;JAWA TENGAH;5
TIVKEBOMAS-TIVNGORO;KOTA SURABAYA;2
TIVKEBOMAS-TIVNGORO;KOTA SURABAYA;2
TIVKEBOMAS-TIVNGORO;KOTA SURABAYA;2
TIVKEBOMAS-TIVNGORO;KOTA SURABAYA;2
TIVKEBOMAS-TIVPANDAAN;JAWA TIMUR;3
TIVKEBOMAS-TIVPANDAAN;KOTA SURABAYA;2
TIVKEBOMAS-TIVPANDAAN;KOTA SURABAYA;2
TIVKEBOMAS-TIVPOLANHARJO;JAWA TENGAH;5
TIVKEBOMAS-TIVSUKOREJO PASURUAN;KOTA SURABAYA;2
TIVKEBOMAS-TIVSUKOREJO PASURUAN;KOTA SURABAYA;2
TIVKEDUNGKANDANG-TIVPANDAAN PETUNG(BL);KOTA SURABAYA;2
TIVKERAMBITAN-TIVGUNUNG PUTRI(BL);JABODETABEK;6
TIVNGORO-TIVBENOWO;KOTA SURABAYA;2
TIVPANDAAN PETUNG-TIVBEJI;JAWA TIMUR;3
TIVPANDAAN PETUNG-TIVBEJI PASURUAN;JAWA TIMUR;3
TIVPANDAAN PETUNG-TIVBULELENG;BALI;5
TIVPANDAAN PETUNG-TIVDAWAN;BALI;5
TIVPANDAAN PETUNG-TIVDENPASAR BARAT;BALI;5
TIVPANDAAN PETUNG-TIVDENPASAR BARAT;BALI;5
TIVPANDAAN PETUNG-TIVDUDUK SAMPEYAN;JAWA TIMUR;3
TIVPANDAAN PETUNG-TIVGEDANGAN;JAWA TIMUR;3
TIVPANDAAN PETUNG-TIVGUNUNG PUTRI;JABODETABEK;6
TIVPANDAAN PETUNG-TIVGUNUNG PUTRI;JABODETABEK;6
TIVPANDAAN PETUNG-TIVGUNUNG PUTRI;JAWA BARAT;6
TIVPANDAAN PETUNG-TIVKALIWATES;JAWA TIMUR;3
TIVPANDAAN PETUNG-TIVKARTASURA;BALI;5
TIVPANDAAN PETUNG-TIVKARTASURA;BALI;5
TIVPANDAAN PETUNG-TIVKEDUNGKANDANG;JAWA TIMUR;3
TIVPANDAAN PETUNG-TIVPAKISAJI;JAWA TIMUR;3
TIVPANDAAN PETUNG-TIVPANDAAN;JAWA TIMUR;3
TIVPANDAAN PETUNG-TIVRUNGKUT;JAWA TIMUR;3
TIVPANDAAN PETUNG-TIVSERIRIT;BALI;5
TIVPANDAAN PETUNG-TIVSINGOSARI;JAWA TIMUR;3
TIVPANDAAN PETUNG-TIVSUKODONO;JAWA TIMUR;3
TIVPANDAAN PETUNG-TIVSUKUN;JAWA TIMUR;3
TIVPANDAAN PETUNG-TIVSUMBER SARI;JAWA TIMUR;3
TIVPANDAAN PETUNG-TIVSUMOBITO;JAWA TIMUR;3
TIVPANDAAN PETUNG-TIVWARU;JAWA TIMUR;3
TIVPANDAAN(1P)-TIVPOLANHARJO;JAWA TENGAH;5
TIVPANDAAN(PP)-TIVBANGUNTAPAN;BALI;5
TIVPANDAAN(PP)-TIVKARTASURA;JAWA TENGAH;5
TIVPANDAAN(PP)-TIVNGALIYAN;JAWA TENGAH;5
TIVPANDAAN(PP)-TIVPOLANHARJO;JAWA TENGAH;5
TIVPANDAAN(PP)-TIVSUKOHARJO;JAWA TENGAH;5
TIVPANDAAN-TIVBANGUNTAPAN;JAWA TENGAH;5
TIVPANDAAN-TIVBANGUNTAPAN;BALI;5
TIVPANDAAN-TIVBEJI;JAWA TIMUR;3
TIVPANDAAN-TIVBEJI PASURUAN;JAWA TIMUR;3
TIVPANDAAN-TIVBEKASI UTARA;JABODETABEK;6
TIVPANDAAN-TIVBENOWO;JAWA TIMUR;3
TIVPANDAAN-TIVBULELENG;BALI;5
TIVPANDAAN-TIVBULELENG;BALI;5
TIVPANDAAN-TIVCAKUNG(1P);JABODETABEK;6
TIVPANDAAN-TIVCIKARANG UTARA;JABODETABEK;6
TIVPANDAAN-TIVDENPASAR BARAT;BALI;5
TIVPANDAAN-TIVDENPASAR BARAT;BALI;5
TIVPANDAAN-TIVDENPASAR BARAT;BALI;5
TIVPANDAAN-TIVDUDUK SAMPEYAN;JAWA TIMUR;3
TIVPANDAAN-TIVGEDANGAN;JAWA TIMUR;3
TIVPANDAAN-TIVGEKBRONG;JAWA BARAT;6
TIVPANDAAN-TIVGEKBRONG;JAWA BARAT;6
TIVPANDAAN-TIVGEKBRONG;JAWA BARAT;6
TIVPANDAAN-TIVGUNUNG PUTRI;JABODETABEK;6
TIVPANDAAN-TIVKALIWATES;JAWA TIMUR;3
TIVPANDAAN-TIVKARTASURA;JAWA TENGAH;5
TIVPANDAAN-TIVKARTASURA;JAWA TENGAH;5
TIVPANDAAN-TIVKEDUNGKANDANG;JAWA TIMUR;3
TIVPANDAAN-TIVKOTA BLORA;JAWA TENGAH;3
TIVPANDAAN-TIVKOTA KUDUS;JAWA TENGAH;5
TIVPANDAAN-TIVNGALIYAN;JAWA TENGAH;5
TIVPANDAAN-TIVNGALIYAN;JAWA TENGAH;5
TIVPANDAAN-TIVPAKISAJI;JAWA TIMUR;3
TIVPANDAAN-TIVPANDAAN PETUNG;JAWA TIMUR;3
TIVPANDAAN-TIVPANDAAN PETUNG (VIA JEMBER);JAWA TIMUR;3
TIVPANDAAN-TIVPOLANHARJO;JAWA TENGAH;5
TIVPANDAAN-TIVPURWASARI;JAWA BARAT;6
TIVPANDAAN-TIVRUNGKUT;JAWA TIMUR;3
TIVPANDAAN-TIVSERIRIT;BALI;5
TIVPANDAAN-TIVSINGOSARI;JAWA TIMUR;3
TIVPANDAAN-TIVSUKARAJA BOGOR;JABODETABEK;6
TIVPANDAAN-TIVSUKODONO;JAWA TIMUR;3
TIVPANDAAN-TIVSUKUN;JAWA TIMUR;3
TIVPANDAAN-TIVSUMBER SARI;JAWA TIMUR;3
TIVPANDAAN-TIVSUMBER SARI;JAWA TIMUR;3
TIVPANDAAN-TIVSUMOBITO;JAWA TIMUR;3
TIVPANDAAN-TIVWARU;JAWA TIMUR;3
TIVPANDAAN-TIVWONOSOBO;JAWA TENGAH;5
TIVPOLANHARJO-TIVBENOWO(1P);JAWA TENGAH;5
TIVPOLANHARJO-TIVPANDAAN(BL);JAWA TENGAH;5
TIVRUNGKUT-TIVASEMROWO;KOTA SURABAYA;2
TIVRUNGKUT-TIVBEJI;JAWA TIMUR;3
TIVRUNGKUT-TIVDUDUK SAMPEYAN;KOTA SURABAYA;2
TIVRUNGKUT-TIVGEDANGAN;KOTA SURABAYA;2
TIVRUNGKUT-TIVMULYOREJO;KOTA SURABAYA;2
TIVRUNGKUT-TIVPANDAAN PETUNG;KOTA SURABAYA;2
TIVRUNGKUT-TIVSUKODONO;KOTA SURABAYA;2
TIVRUNGKUT-TIVSUKUN;JAWA TIMUR;3
TIVRUNGKUT-TIVSUMOBITO;JAWA TIMUR;3
TIVRUNGKUT-TIVWARU;KOTA SURABAYA;2
TIVSINGOJURUH-TIVGUNUNG PUTRI(1P);JABODETABEK;6
TIVSINGOSARI-TIVPANDAAN PETUNG(BL);JAWA TIMUR;3
TIVSUMBER SARI-TIVPANDAAN PETUNG(BL);KOTA SURABAYA;2
TKBSALE REMBANG-TKBCURUG;JABODETABEK;6
TKBSALE REMBANG-TKBKIBIN;BANTEN;5
TMDNGALIYAN-TMDBAGOR;JAWA TENGAH;5
TMDSIDOARJO-TMDCIKARANG BARAT;JABODETABEK;6
TMDSIDOARJO-TMDCIKARANG BARAT;JABODETABEK;6
TMDSIDOARJO-TMDNGALIYAN;JAWA TENGAH;5
TPSJATEN-TPSSUMBERSARI(BL);;5
TSISUKOHARJO-TSITEMANGGUNG;JAWA TENGAH;4
UCIMANYAR(1P)-UCIBANGUNTAPAN;JAWA TENGAH;5
UCIMANYAR-UCIBANDUNG KULON;JAWA BARAT;6
UCIMANYAR-UCIBUAH BATU;JAWA BARAT;6
UCIMANYAR-UCICIKARANG UTARA;JABODETABEK;6
UCIMANYAR-UCICIKUPA;JABODETABEK;6
UCIMANYAR-UCICILEUNGSI;JABODETABEK;6
UCIMANYAR-UCIGAMBIR;JABODETABEK;6
UCIMANYAR-UCIGUNUNG SINDUR;;6
UCIMANYAR-UCIPANJANG LAMPUNG;LAMPUNG;7
UCIMANYAR-UCITAPOS;JAWA BARAT;6
UCISIDOARJO-UCIBANJAR AGUNG;LAMPUNG;7
UCISIDOARJO-UCIJAMBI SELATAN;JAMBI;9
UCISIDOARJO-UCIPUTRI HIJAU;BENGKULU;10
UCISIDOARJO-UCISEBERANG ULU I;SUMATERA SELATAN;8
UCISIDOARJO-UCITANJUNG KARANG TIMUR;LAMPUNG;7
UCISIDOHARJO SRAGEN-UCIDENPASAR UTARA;BALI;5
UNVKRIAN-UNVBUBUTAN;JABODETABEK;6
UNVKRIAN-UNVBUBUTAN;JABODETABEK;6
UVSARGOMULYO-UVSASEMROWO(BL);KOTA SURABAYA;2
WGNKARANG PILANG(OS)-WGNKALIDERES(OS);JABODETABEK;6
WGNKARANGPILANG-WGNBANDUNG KULON;JAWA BARAT;6
WGNKARANGPILANG-WGNGUNUNG SINDUR;JABODETABEK;6
WGNKARANGPILANG-WGNJATIUWUNG;JABODETABEK;6
WGNKARANGPILANG-WGNKALIDERES;JABODETABEK;6
WGNKRIAN-WGNBANDUNG KULON;JAWA BARAT;6
WGNKRIAN-WGNGUNUNG SINDUR;JABODETABEK;6
WGNKRIAN-WGNJATIUWUNG;JABODETABEK;6
WGNKRIAN-WGNKALIDERES;JABODETABEK;6
WPDNGALIYAN-WPDWELERI;JAWA TENGAH;5
WUJPANDAAN-WUJGROBOGAN;JAWA TENGAH;5
WUJPANDAAN-WUJKOTA KUDUS;JAWA TENGAH;5
WUJPANDAAN-WUJKOTA KUDUS;JAWA TENGAH;5
WUJPANDAAN-WUJNGALIYAN;JAWA TENGAH;5
WUJPANDAAN-WUJNGALIYAN;JAWA TENGAH;5
WUJPANDAAN-WUJNGAMPRAL;JAWA TENGAH;5
WUJPANDAAN-WUJPECANGAAN;JAWA TENGAH;5
WUJPANDAAN-WUJPECANGAAN;JAWA TENGAH;5
WUJPANDAAN-WUJREMBANG;JAWA TENGAH;5
WUJPANDAAN-WUJTAYU;JAWA TENGAH;5
