"TMS ID","Carrier Name","Charge Rate","Rate Basis","Rate","Closed Date","Load Group","Charge Description","Carrier Reference","Rate Change Approval Date","Shipment Reference Number","Rate Change Request Date"
58775663,"BAHANA PRESTASI","50,000.00","FLAT","50,000.00","10/01/2022 16:36","SURABAYA LOG PACK","TMB_BONGKAR","0027","11/01/2022 07:54","40539941","29/12/2021 11:31"
58775663,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","10/01/2022 16:36","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","11/01/2022 07:54","40539941","29/12/2021 11:31"
58775978,"BAHANA PRESTASI","60,000.00","FLAT","60,000.00","30/12/2021 09:48","SURABAYA LOG PACK","TMB_BONGKAR","0027","30/12/2021 18:25","6100080429","30/12/2021 09:05"
58785480,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","07/01/2022 17:16","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","09/01/2022 21:32","40539937","29/12/2021 11:22"
58785480,"BAHANA PRESTASI","600,000.00","FLAT","600,000.00","07/01/2022 17:16","SURABAYA LOG PACK","TMB_BONGKAR","0027","09/01/2022 21:32","40539937","29/12/2021 11:22"
58785495,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","14/01/2022 16:11","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","17/01/2022 07:41","40540490","30/12/2021 00:07"
58785495,"BAHANA PRESTASI","350,000.00","FLAT","350,000.00","14/01/2022 16:11","SURABAYA LOG PACK","TMB_BONGKAR","0027","17/01/2022 07:41","40540490","30/12/2021 00:07"
58785498,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","03/01/2022 09:43","SURABAYA LOG BULK","TMB_BONGKAR","0027","03/01/2022 13:04","0082537288","29/12/2021 12:13"
58785498,"BAHANA PRESTASI","140,000.00","FLAT","140,000.00","03/01/2022 09:43","SURABAYA LOG BULK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","03/01/2022 13:04","0082537288","29/12/2021 12:13"
58785499,"BAHANA PRESTASI","140,000.00","FLAT","140,000.00","03/01/2022 09:43","SURABAYA LOG BULK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","03/01/2022 13:04","0082537424","29/12/2021 12:14"
58785499,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","03/01/2022 09:43","SURABAYA LOG BULK","TMB_BONGKAR","0027","03/01/2022 13:04","0082537424","29/12/2021 12:14"
58785505,"BAHANA PRESTASI","780,000.00","FLAT","780,000.00","05/01/2022 17:16","SURABAYA LOG PACK","TMB_BONGKAR","0027","06/01/2022 08:26","40540389","30/12/2021 09:08"
58785505,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","05/01/2022 17:16","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","06/01/2022 08:26","40540389","30/12/2021 09:08"
58785519,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","04/01/2022 10:42","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","04/01/2022 11:11","40540728","30/12/2021 00:00"
58785519,"BAHANA PRESTASI","301,500.00","FLAT","301,500.00","04/01/2022 10:42","SURABAYA LOG PACK","TMB_BONGKAR","0027","04/01/2022 15:02","40540728","04/01/2022 14:56"
58786267,"BAHANA PRESTASI","320,000.00","FLAT","320,000.00","17/01/2022 12:55","SURABAYA LOG PACK","TMB_BONGKAR","0027","17/01/2022 13:58","40540466","30/12/2021 00:01"
58787625,"BAHANA PRESTASI","170,000.00","FLAT","170,000.00","12/01/2022 17:24","SURABAYA LOG PACK","TMB_BONGKAR","0027","12/01/2022 17:34","40540473","30/12/2021 00:09"
58787625,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","12/01/2022 17:24","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","12/01/2022 17:34","40540473","30/12/2021 00:09"
58787942,"BAHANA PRESTASI","70,000.00","FLAT","70,000.00","03/01/2022 10:58","SURABAYA RENTAL TRIP","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","03/01/2022 13:04","SUB/21/12/0114","30/12/2021 11:53"
58788229,"BAHANA PRESTASI","193,350.00","FLAT","193,350.00","06/01/2022 14:53","SURABAYA LOG PACK","TMB_BONGKAR","0027","09/01/2022 21:32","40540727","07/01/2022 11:43"
58788229,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","06/01/2022 14:53","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","06/01/2022 15:35","40540727","30/12/2021 00:14"
58788239,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","07/01/2022 16:33","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","09/01/2022 21:32","40539933","30/12/2021 00:16"
58788239,"BAHANA PRESTASI","263,400.00","FLAT","263,400.00","07/01/2022 16:33","SURABAYA LOG PACK","TMB_BONGKAR","0027","09/01/2022 21:32","40539933","30/12/2021 00:16"
58788538,"BAHANA PRESTASI","448,000.00","FLAT","448,000.00","03/01/2022 10:43","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","03/01/2022 13:04","S21122900051","29/12/2021 16:25"
58788548,"BAHANA PRESTASI","154,400.00","FLAT","154,400.00","03/01/2022 10:46","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","03/01/2022 13:04","S21122900040,S21122900037,S21122900039,S21122900036,S21122900038","29/12/2021 16:26"
58788549,"BAHANA PRESTASI","24,500.00","FLAT","24,500.00","03/01/2022 11:03","SURABAYA RENTAL TRIP","TMB_BONGKAR","0027","03/01/2022 13:04","S21122900053,S21122900035","29/12/2021 16:26"
58788634,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","11/01/2022 13:44","SURABAYA LOG PACK","TMB_MULTIDROP","0027","09/01/2022 21:32","GD3221689186/0080140590","04/01/2022 15:54"
58788891,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","11/01/2022 13:42","SURABAYA LOG PACK","TMB_MULTIDROP","0027","06/01/2022 16:43","GD3221691313/00080140679","03/01/2022 13:25"
58788891,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","11/01/2022 13:42","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","09/01/2022 21:32","GD3221691313/00080140679","08/01/2022 15:09"
58789116,"BAHANA PRESTASI","30,000.00","FLAT","30,000.00","30/12/2021 16:07","SURABAYA LOG PACK","TMB_BONGKAR","0027","30/12/2021 18:25","2100418307","30/12/2021 09:12"
58789144,"BAHANA PRESTASI","433,000.00","FLAT","433,000.00","17/01/2022 17:07","SURABAYA LOG PACK","TMB_BONGKAR","0027","18/01/2022 08:48","40540053","30/12/2021 00:20"
58789719,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","06/01/2022 15:17","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","06/01/2022 15:35","40536285","30/12/2021 00:23"
58789719,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","06/01/2022 15:17","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","06/01/2022 15:35","40536285","30/12/2021 00:23"
58789719,"BAHANA PRESTASI","900,000.00","FLAT","900,000.00","06/01/2022 15:17","SURABAYA LOG PACK","TMB_BONGKAR","0027","06/01/2022 15:35","40536285","30/12/2021 00:23"
58794443,"BAHANA PRESTASI","430,700.00","FLAT","430,700.00","07/01/2022 10:17","SURABAYA LOG PACK","TMB_BONGKAR","0027","09/01/2022 21:32","3000874476","31/12/2021 10:43"
58794448,"BAHANA PRESTASI","780,000.00","FLAT","780,000.00","04/01/2022 11:48","SURABAYA LOG PACK","TMB_BONGKAR","0027","04/01/2022 12:56","40540010","30/12/2021 09:06"
