Lean ID;Current Requested Charge Amount;Charge Requested
58735204;15000;TMB_STAPLE
58735222;15000;TMB_STAPLE
58735223;15000;TMB_STAPLE
58735224;15000;TMB_STAPLE
58735225;15000;TMB_STAPLE
58735241;15000;TMB_STAPLE
58735265;15000;TMB_STAPLE
58736299;15000;TMB_STAPLE
58736322;15000;TMB_STAPLE
58745649;15000;TMB_STAPLE
58745652;15000;TMB_STAPLE
58745665;15000;TMB_STAPLE
58745676;15000;TMB_STAPLE
58745688;15000;TMB_STAPLE
58747764;15000;TMB_STAPLE
58747803;15000;TMB_STAPLE
58747835;15000;TMB_STAPLE
58747861;15000;TMB_STAPLE
58747863;15000;TMB_STAPLE
58747886;15000;TMB_STAPLE
58765687;15000;TMB_STAPLE
58765689;15000;TMB_STAPLE
58765691;15000;TMB_STAPLE
58767993;15000;TMB_STAPLE
58768002;15000;TMB_STAPLE
58768006;15000;TMB_STAPLE
58768036;15000;TMB_STAPLE
58768110;15000;TMB_STAPLE
58768110;15000;TMB_MULTIDROP
58768114;15000;TMB_STAPLE
58768133;15000;TMB_STAPLE
58768157;15000;TMB_STAPLE
58768179;15000;TMB_STAPLE
58775645;15000;TMB_STAPLE
58775655;15000;TMB_STAPLE
58775664;15000;TMB_STAPLE
58775681;15000;TMB_STAPLE
58775695;15000;TMB_STAPLE
58775707;15000;TMB_STAPLE
58775721;15000;TMB_STAPLE
58775749;15000;TMB_STAPLE
58776016;15000;TMB_STAPLE
58789055;15000;TMB_STAPLE
58789057;15000;TMB_STAPLE
58789065;15000;TMB_STAPLE
58789116;15000;TMB_STAPLE
58789127;15000;TMB_STAPLE
58789129;15000;TMB_STAPLE
58789855;15000;TMB_STAPLE
58789857;15000;TMB_STAPLE
58790832;15000;TMB_STAPLE
58790878;15000;TMB_STAPLE
58796847;15000;TMB_STAPLE
58796853;15000;TMB_STAPLE
58796862;15000;TMB_STAPLE
58796882;15000;TMB_STAPLE
58796927;15000;TMB_STAPLE
58796945;15000;TMB_STAPLE
58796962;15000;TMB_STAPLE
58797000;15000;TMB_STAPLE
58797009;15000;TMB_STAPLE
58797022;15000;TMB_STAPLE
58797049;15000;TMB_STAPLE
58797053;15000;TMB_STAPLE
58819196;15000;TMB_STAPLE
58819198;15000;TMB_STAPLE
58819201;15000;TMB_STAPLE
58820159;15000;TMB_STAPLE
58821277;15000;TMB_STAPLE
58821287;15000;TMB_STAPLE
58821380;15000;TMB_STAPLE
58834100;15000;TMB_STAPLE
58834217;15000;TMB_STAPLE
58835979;15000;TMB_STAPLE
58835985;15000;TMB_STAPLE
58836011;15000;TMB_STAPLE
58836035;15000;TMB_STAPLE
58836058;15000;TMB_STAPLE
58842564;15000;TMB_STAPLE
58842565;15000;TMB_STAPLE
58852028;15000;TMB_STAPLE
58852031;15000;TMB_STAPLE
58852033;15000;TMB_STAPLE
58852034;15000;TMB_STAPLE
58852063;15000;TMB_STAPLE
58852082;15000;TMB_STAPLE
58852085;15000;TMB_STAPLE
58852086;15000;TMB_STAPLE
58852087;15000;TMB_STAPLE
58852091;15000;TMB_STAPLE
58852093;15000;TMB_STAPLE
58852100;15000;TMB_STAPLE
58852101;15000;TMB_STAPLE
58852109;15000;TMB_STAPLE
58852114;15000;TMB_STAPLE
58852120;15000;TMB_STAPLE
58852132;15000;TMB_STAPLE
58852137;15000;TMB_STAPLE
58852142;15000;TMB_STAPLE
58852150;15000;TMB_STAPLE
58852167;15000;TMB_STAPLE
58854787;15000;TMB_STAPLE
58854794;15000;TMB_STAPLE
58854802;15000;TMB_STAPLE
58854884;15000;TMB_STAPLE
58854887;15000;TMB_STAPLE
58854888;15000;TMB_STAPLE
58854893;15000;TMB_STAPLE
58854965;15000;TMB_STAPLE
58855025;15000;TMB_STAPLE
58855029;15000;TMB_STAPLE
58855034;15000;TMB_STAPLE
58855047;15000;TMB_STAPLE
58855053;15000;TMB_STAPLE
58855057;15000;TMB_STAPLE
58855469;15000;TMB_STAPLE
58855520;15000;TMB_STAPLE
58855563;15000;TMB_STAPLE
58855579;15000;TMB_STAPLE
58855618;15000;TMB_STAPLE
58855623;15000;TMB_STAPLE
58855625;15000;TMB_STAPLE
58863410;15000;TMB_STAPLE
58863938;15000;TMB_STAPLE
58863975;15000;TMB_STAPLE
58863995;15000;TMB_STAPLE
58865899;15000;TMB_STAPLE
58865902;15000;TMB_STAPLE
58865905;15000;TMB_STAPLE
58865916;15000;TMB_STAPLE
58866392;15000;TMB_STAPLE
58875814;15000;TMB_STAPLE
58875830;15000;TMB_STAPLE
58875832;15000;TMB_STAPLE
58875834;15000;TMB_STAPLE
58878725;15000;TMB_STAPLE
58878772;15000;TMB_STAPLE
58878781;15000;TMB_STAPLE
58878814;15000;TMB_STAPLE
58878842;15000;TMB_STAPLE
58878860;15000;TMB_STAPLE
58878874;15000;TMB_STAPLE
58878881;15000;TMB_STAPLE
58892093;15000;TMB_STAPLE
58892097;15000;TMB_STAPLE
58892100;15000;TMB_STAPLE
58894666;15000;TMB_STAPLE
58894682;15000;TMB_STAPLE
58894749;15000;TMB_STAPLE
58894755;15000;TMB_STAPLE
58894842;15000;TMB_STAPLE
58894850;15000;TMB_STAPLE
58549704;16000;TMB_BONGKAR
58674403;16000;TMB_BONGKAR
58684205;17500;TMB_KOMISI SUPIR
58772188;18500;UNBILLED BONGKAR
58573290;20000;TMB_BONGKAR
58609024;20000;TMB_BONGKAR
58609520;20000;TMB_BONGKAR
58656105;20000;TMB_BONGKAR
58683980;20000;TMB_BONGKAR
58721992;20000;TMB_BONGKAR
58734811;20000;TMB_KOMISI SUPIR
58768114;20000;TMB_KOMISI SUPIR
58817848;20000;TMB_KOMISI SUPIR
58852174;20000;TMB_BONGKAR
58855057;20000;TMB_KOMISI SUPIR
58708171;21000;UNBILLED BONGKAR
58582445;28000;TMB_PARKIR
58708171;28000;UNBILLED BONGKAR
58608793;30000;TMB_BONGKAR
58611332;30000;TMB_KOMISI SUPIR
58640752;30000;TMB_PARKIR
58789116;30000;TMB_BONGKAR
58797000;30000;TMB_BONGKAR
58819196;30000;TMB_BONGKAR
58759170;31500;TMB_BONGKAR
58834740;33125;TMB_BONGKAR
58658790;35000;TMB_BONGKAR
