"Customer Reference Number","Customer Name","Load ID","Load Group","Load Created Date","Order Number","Billable Total Rate","Load Closed Date","Load Status"
"8000000010","PT. LAUTAN LUAS TBK","58544596","SURABAYA LOG PACK","01/12/2021 09:04","2100415497","977,000.00","01/12/2021 16:56","Completed"
"8000000010","PT. LAUTAN LUAS TBK","58544597","SURABAYA LOG PACK","01/12/2021 09:05","2100415500","977,000.00","03/12/2021 10:42","Completed"
"3000008809","IDLE CAP","58544619","SURABAYA LOG PACK","01/12/2021 09:35","KOSB9559PEU01122021","1.00","13/12/2021 11:14","Completed"
"3000003865","MULTI ANUGERAH LESTARI TEXINDO","58544621","SURABAYA LOG PACK","01/12/2021 09:58","SJ21-008472","4,000,000.00","14/12/2021 11:36","Completed"
"3000020650","PT LOTTE GLOBAL LOGISTICS INDONESIA","58544622","SURABAYA LOG PACK","01/12/2021 09:59","SJ2112TG0003","4,400,000.00","07/12/2021 11:50","Completed"
"3000007550","PT. NIRWANA LESTARI","58546853","SURABAYA RENTAL TRIP","01/12/2021 13:29","1000359765","238,500.00","02/12/2021 11:31","Completed"
"3000007550","PT. NIRWANA LESTARI","58546854","SURABAYA RENTAL TRIP","01/12/2021 13:29","1000359767","50,001.00","02/12/2021 11:31","Completed"
"3000007550","PT. NIRWANA LESTARI","58546854","SURABAYA RENTAL TRIP","01/12/2021 13:29","1000359766","256,500.00","02/12/2021 11:31","Completed"
"3000007550","PT. NIRWANA LESTARI","58546859","SURABAYA RENTAL TRIP","01/12/2021 13:32","1000359768","370,000.00","02/12/2021 11:31","Completed"
"3000007550","PT. NIRWANA LESTARI","58546872","SURABAYA RENTAL TRIP","01/12/2021 13:33","1000359769","284,000.00","02/12/2021 11:31","Completed"
"3000007550","PT. NIRWANA LESTARI","58546874","SURABAYA RENTAL TRIP","01/12/2021 13:34","1000359764","148,001.00","02/12/2021 11:31","Completed"
"3000007550","PT. NIRWANA LESTARI","58546874","SURABAYA RENTAL TRIP","01/12/2021 13:34","1000359800","213,500.00","02/12/2021 11:31","Completed"
"3000007550","PT. NIRWANA LESTARI","58546876","SURABAYA RENTAL TRIP","01/12/2021 13:34","1000359762","287,000.00","02/12/2021 11:31","Completed"
"3000006280","PT WARU GUNUNG","58546947","SURABAYA LOG PACK","01/12/2021 13:59","8872002718","4,450,000.00","07/12/2021 17:06","Completed"
"3000004138","OMYA INDONESIA","58546981","SURABAYA LOG PACK","01/12/2021 14:00","40367584","2,550,000.00","06/12/2021 09:37","Completed"
"3000004138","OMYA INDONESIA","58546986","SURABAYA LOG PACK","01/12/2021 14:00","40368680","2,550,000.00","06/12/2021 09:37","Completed"
"8000000019","PT CIPTA MAPAN LOGISTIK","58547187","SURABAYA LOG PACK","01/12/2021 14:37","927B","490,000.00","03/12/2021 10:50","Completed"
"3000000615","ATLANTIC OCEAN PAINT","58547447","SURABAYA EXIM TRUCKING","01/12/2021 15:02","SISB21110041_1","1,700,000.00","02/12/2021 11:08","Completed"
"3000000615","ATLANTIC OCEAN PAINT","58547453","SURABAYA EXIM TRUCKING","01/12/2021 15:04","SISB21110041_2","1,700,000.00","02/12/2021 11:09","Completed"
"3000020764","PT. PERTAMINA PETROCHEMICAL TRADING","58547460","SURABAYA EXIM TRUCKING","01/12/2021 15:06","SISB21110051_2","924,000.00","02/12/2021 11:11","Completed"
"3000020687","LANGGENG AMANAH EXPRESS","58547595","SURABAYA EXIM TRUCKING","01/12/2021 15:08","SISB21110040_1","1,100,000.00","02/12/2021 11:13","Completed"
"3000008809","IDLE CAP","58547684","SURABAYA MOB KOSONGAN","01/12/2021 15:20","KOSB9614UXR01122021","1.00","17/12/2021 14:45","Completed"
"3000008809","IDLE CAP","58547713","SURABAYA MOB KOSONGAN","01/12/2021 15:24","KOSB9749PEU01122021","1.00","17/12/2021 14:45","Completed"
"3000008809","IDLE CAP","58547800","SURABAYA MOB KOSONGAN","01/12/2021 15:26","KOSB9409UEU01122021","1.00","17/12/2021 14:45","Completed"
"3000002496","PT INDOFOOD SUKSES MAKMUR","58547851","SURABAYA EXIM TRUCKING","01/12/2021 15:31","SISB21110056_1","900,000.00","02/12/2021 11:14","Completed"
"3000009257","PT TIRTA INVESTAMA","58547877","SURABAYA EXIM TRUCKING","01/12/2021 15:34","SISB21110057_1","1.00","02/12/2021 11:17","Completed"
"3000003865","MULTI ANUGERAH LESTARI TEXINDO","58547878","SURABAYA LOG PACK","01/12/2021 15:35","SJ21-008489","5,000,000.00","06/12/2021 17:52","Completed"
"3000009257","PT TIRTA INVESTAMA","58547900","SURABAYA EXIM TRUCKING","01/12/2021 15:36","SISB21110057_2","1.00","02/12/2021 11:19","Completed"
"3000009257","PT TIRTA INVESTAMA","58547907","SURABAYA EXIM TRUCKING","01/12/2021 15:37","SISB21110057_3","1.00","02/12/2021 11:21","Completed"
"3000008809","IDLE CAP","58547909","SURABAYA MOB KOSONGAN","01/12/2021 15:38","KOSB9670PEU01122021","1.00","17/12/2021 14:45","Completed"
"3000009257","PT TIRTA INVESTAMA","58547921","SURABAYA EXIM TRUCKING","01/12/2021 15:39","SISB21110057_4","1.00","02/12/2021 11:22","Completed"
"3000009257","PT TIRTA INVESTAMA","58547932","SURABAYA EXIM TRUCKING","01/12/2021 15:40","SISB21110057_5","1.00","02/12/2021 11:25","Completed"
"3000009257","PT TIRTA INVESTAMA","58547977","SURABAYA EXIM TRUCKING","01/12/2021 15:42","SISB21110057_6","1.00","02/12/2021 11:26","Completed"
"3000009257","PT TIRTA INVESTAMA","58547981","SURABAYA EXIM TRUCKING","01/12/2021 15:44","SISB21110057_7","1.00","02/12/2021 11:29","Completed"
"3000009257","PT TIRTA INVESTAMA","58548108","SURABAYA TIV IMPORT","01/12/2021 15:53","5042708875","1.00","06/12/2021 10:29","Completed"
"3000009257","PT TIRTA INVESTAMA","58548112","SURABAYA TIV IMPORT","01/12/2021 15:54","5042713159","1.00","06/12/2021 10:29","Completed"
"3000009257","PT TIRTA INVESTAMA","58548115","SURABAYA TIV IMPORT","01/12/2021 15:54","5042538667","1.00","06/12/2021 10:29","Completed"
"3000009257","PT TIRTA INVESTAMA","58548278","SURABAYA TIV IMPORT","01/12/2021 15:56","5042713480","2,882,000.00","21/12/2021 14:06","Completed"
"3000009257","PT TIRTA INVESTAMA","58548328","SURABAYA TIV IMPORT","01/12/2021 15:57","5042697836","2,882,000.00","14/12/2021 14:24","Completed"
"3000009257","PT TIRTA INVESTAMA","58548369","SURABAYA TIV IMPORT","01/12/2021 15:58","5042719808","3,762,000.00","09/12/2021 09:57","Completed"
"3000009257","PT TIRTA INVESTAMA","58548371","SURABAYA TIV IMPORT","01/12/2021 15:59","5042716007","1.00","09/12/2021 09:57","Completed"
"3000005193","PT SINAR MAS AGRO RESOURCES AND","58548580","SURABAYA LOG PACK","01/12/2021 16:12","40514509","1,100,000.00","06/12/2021 16:50","Completed"
"3000000615","ATLANTIC OCEAN PAINT","58549054","SURABAYA EXIM TRUCKING","01/12/2021 16:37","SISB21110063_1","1,700,000.00","02/12/2021 11:32","Completed"
"3000009257","PT TIRTA INVESTAMA","58549061","SURABAYA RENTAL TRIP","01/12/2021 16:38","S21120100053","1,200,000.00","10/12/2021 17:32","Completed"
"3000009257","PT TIRTA INVESTAMA","58549061","SURABAYA RENTAL TRIP","01/12/2021 16:38","S21120100061","1,200,000.00","10/12/2021 17:32","Completed"
"3000009257","PT TIRTA INVESTAMA","58549061","SURABAYA RENTAL TRIP","01/12/2021 16:38","S21120100060","1,200,000.00","10/12/2021 17:32","Completed"
"3000009257","PT TIRTA INVESTAMA","58549070","SURABAYA RENTAL TRIP","01/12/2021 16:39","S21120100062","1.00","08/12/2021 16:31","Completed"
"3000009257","PT TIRTA INVESTAMA","58549070","SURABAYA RENTAL TRIP","01/12/2021 16:39","S21120100063","1.00","08/12/2021 16:31","Completed"
"3000009257","PT TIRTA INVESTAMA","58549070","SURABAYA RENTAL TRIP","01/12/2021 16:39","S21120100067","1.00","08/12/2021 16:31","Completed"
"3000009257","PT TIRTA INVESTAMA","58549077","SURABAYA EXIM TRUCKING","01/12/2021 16:39","SISB21110059_1","1.00","02/12/2021 11:34","Completed"
"3000009257","PT TIRTA INVESTAMA","58549078","SURABAYA RENTAL TRIP","01/12/2021 16:39","S21120100064","1.00","09/12/2021 10:19","Completed"
"3000009257","PT TIRTA INVESTAMA","58549078","SURABAYA RENTAL TRIP","01/12/2021 16:39","S21120100065","1.00","09/12/2021 10:19","Completed"
"3000009257","PT TIRTA INVESTAMA","58549078","SURABAYA RENTAL TRIP","01/12/2021 16:39","S21120100066","1.00","09/12/2021 10:19","Completed"
"3000009257","PT TIRTA INVESTAMA","58549112","SURABAYA RENTAL TRIP","01/12/2021 16:40","S21120100052","1,150,000.00","13/12/2021 17:43","Completed"
"3000009257","PT TIRTA INVESTAMA","58549144","SURABAYA EXIM TRUCKING","01/12/2021 16:41","SISB21110059_2","1.00","03/12/2021 15:16","Completed"
"3000009257","PT TIRTA INVESTAMA","58549148","SURABAYA RENTAL TRIP","01/12/2021 16:41","S21120100051","1,150,000.00","07/12/2021 16:55","Completed"
"3000009257","PT TIRTA INVESTAMA","58549154","SURABAYA LOG PACK","01/12/2021 16:42","S21112607691","450,000.00","09/12/2021 11:12","Completed"
