"TMS ID","Carrier Name","Charge Rate","Rate Basis","Rate","Closed Date","Load Group","Charge Description","Carrier Reference","Rate Change Approval Date","Shipment Reference Number","Rate Change Request Date"
58831398,"BAHANA PRESTASI","140,000.00","FLAT","140,000.00","10/01/2022 09:18","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","11/01/2022 07:54","537424-1","05/01/2022 09:54"
58831399,"BAHANA PRESTASI","140,000.00","FLAT","140,000.00","10/01/2022 09:18","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","11/01/2022 07:54","537424-2","05/01/2022 09:54"
58831402,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","07/01/2022 15:46","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","09/01/2022 21:33","PO.UZO1POA22000891","05/01/2022 12:23"
58831403,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","07/01/2022 15:58","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","09/01/2022 21:33","PO.UZO1POA22000890","05/01/2022 12:26"
58831452,"BAHANA PRESTASI","50,000.00","FLAT","50,000.00","10/01/2022 11:38","SURABAYA RENTAL TRIP","TMB_MULTIDROP","0027","11/01/2022 07:54","SUB/22/01/0018,SUB/22/01/0013","05/01/2022 12:33"
58832502,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","10/01/2022 15:59","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","11/01/2022 07:54","40542563","05/01/2022 14:11"
58832502,"BAHANA PRESTASI","267,000.00","FLAT","267,000.00","10/01/2022 15:59","SURABAYA LOG PACK","TMB_BONGKAR","0027","11/01/2022 07:54","40542563","05/01/2022 14:11"
58833720,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","07/01/2022 08:55","SURABAYA LOG BULK","TMB_BONGKAR","0027","09/01/2022 21:33","0082544395","06/01/2022 09:10"
58834740,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","10/01/2022 16:05","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","11/01/2022 07:54","40542422","05/01/2022 17:01"
58834740,"BAHANA PRESTASI","239,625.00","FLAT","239,625.00","10/01/2022 16:05","SURABAYA LOG PACK","TMB_BONGKAR","0027","11/01/2022 07:54","40542422","05/01/2022 17:01"
58834740,"BAHANA PRESTASI","33,125.00","FLAT","33,125.00","10/01/2022 16:05","SURABAYA LOG PACK","TMB_BONGKAR","0027","11/01/2022 07:54","40542422","05/01/2022 17:01"
58834861,"BAHANA PRESTASI","492,000.00","FLAT","492,000.00","10/01/2022 15:54","SURABAYA LOG PACK","TMB_BONGKAR","0027","11/01/2022 07:54","40542949","05/01/2022 16:59"
58835979,"BAHANA PRESTASI","120,000.00","FLAT","120,000.00","06/01/2022 17:00","SURABAYA LOG PACK","TMB_BONGKAR","0027","09/01/2022 21:33","2100418784,2100418807","06/01/2022 08:54"
58835985,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","06/01/2022 17:20","SURABAYA LOG PACK","TMB_BONGKAR","0027","09/01/2022 21:33","2100418765","06/01/2022 08:56"
58836011,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","06/01/2022 17:21","SURABAYA LOG PACK","TMB_BONGKAR","0027","09/01/2022 21:33","2100418765-1","06/01/2022 08:53"
58837520,"BAHANA PRESTASI","70,000.00","FLAT","70,000.00","10/01/2022 11:28","SURABAYA RENTAL TRIP","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","11/01/2022 07:54","SUB/22/01/0012","07/01/2022 12:38"
58842559,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","10/01/2022 15:48","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","11/01/2022 07:54","40542568","07/01/2022 10:12"
58842559,"BAHANA PRESTASI","231,000.00","FLAT","231,000.00","10/01/2022 15:48","SURABAYA LOG PACK","TMB_BONGKAR","0027","12/01/2022 11:01","40542568","11/01/2022 10:36"
58843562,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","10/01/2022 09:15","SURABAYA LOG BULK","TMB_BONGKAR","0027","11/01/2022 07:55","0082545404","07/01/2022 09:19"
58843564,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","10/01/2022 09:15","SURABAYA LOG BULK","TMB_BONGKAR","0027","11/01/2022 07:55","0082545349","07/01/2022 09:20"
58845208,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","19/01/2022 10:37","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","19/01/2022 14:19","40542195","07/01/2022 10:13"
58845208,"BAHANA PRESTASI","350,000.00","FLAT","350,000.00","19/01/2022 10:37","SURABAYA LOG PACK","TMB_BONGKAR","0027","19/01/2022 14:19","40542195","07/01/2022 10:13"
58845220,"BAHANA PRESTASI","0.00","FLAT","0.00","11/01/2022 15:36","SURABAYA LOG PACK","TMB_BONGKAR","0027","28/01/2022 10:35","40543222","28/01/2022 10:31"
58845220,"BAHANA PRESTASI","350,000.00","FLAT","350,000.00","11/01/2022 15:36","SURABAYA LOG PACK","TMB_BONGKAR","0027","26/01/2022 09:19","40543222","25/01/2022 11:00"
58845220,"BAHANA PRESTASI","120,000.00","FLAT","120,000.00","11/01/2022 15:36","SURABAYA LOG PACK","TMB_BONGKAR","0027","12/01/2022 17:34","40543222","12/01/2022 17:21"
58845220,"BAHANA PRESTASI","100,000.00","FLAT","100,000.00","11/01/2022 15:36","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","12/01/2022 11:01","40543222","07/01/2022 10:14"
58845245,"BAHANA PRESTASI","200,000.00","FLAT","200,000.00","19/01/2022 17:26","SURABAYA LOG PACK","TMB_BIAYA INAP (OVERNIGHT CHARGE)","0027","21/01/2022 15:30","40543064","07/01/2022 10:16"
58845245,"BAHANA PRESTASI","170,000.00","FLAT","170,000.00","19/01/2022 17:26","SURABAYA LOG PACK","TMB_BONGKAR","0027","21/01/2022 15:30","40543064","07/01/2022 10:16"
