id_loa;kapasitas;rute_start;rute_end;L-300;CDE;CDD;Fuso Engkel;Tronton
3;0;Asemrowo;Laks.Martadinata;656000;800000;1069000;1768000;2190000
3;0;Asemrowo;Pakisaji;656000;800000;1069000;1768000;2190000
3;0;Asemrowo;Nganjuk;727000;884000;1246000;1898000;2779000
3;0;Asemrowo;Kediri;727000;884000;1246000;1898000;2779000
3;0;Asemrowo;Pagak;727000;884000;1246000;1898000;2779000
3;0;Asemrowo;kec kepanjen,Malang;727000;884000;1246000;1898000;2779000
3;0;Asemrowo;Bulu Lawang;727000;884000;1246000;1898000;2779000
3;0;Asemrowo;Dampit;727000;884000;1246000;1898000;2779000
3;0;Asemrowo;Lumajang;842000;993000;1322000;2156000;3201000
3;0;Asemrowo;Tulungagung;842000;993000;1322000;2156000;3201000
