EXIM_SMRRUNGKUT-EXIM_SMRBENOWO,3,EXIM_SMRRUNGKUT-EXIM_SMRBENOWO,"KOTA SURABAYA",2
EXIM_SMRRUNGKUT-EXIM_SMRBENOWO,3,EXIM_SMRRUNGKUT-EXIM_SMRBENOWO,"KOTA SURABAYA",2
EXIM_SMRRUNGKUT-EXIM_SMRBENOWO,3,EXIM_SMRRUNGKUT-EXIM_SMRBENOWO,"KOTA SURABAYA",2
EXIM_SMRRUNGKUT-EXIM_SMRBENOWO,3,EXIM_SMRRUNGKUT-EXIM_SMRBENOWO,"KOTA SURABAYA",2
EXIM_SMRRUNGKUT-EXIM_SMRBENOWO,3,EXIM_SMRRUNGKUT-EXIM_SMRBENOWO,"KOTA SURABAYA",2
GCMASEMROWO-GCMPUNGGING,3,GCMASEMROWO-GCMPUNGGING,"KOTA SURABAYA",2
LTLASEMROWO-LTLBANGIL,3,LTLASEMROWO-LTLBANGIL,"KOTA SURABAYA",2
"LTLPABEAN CANTIAN-LTLASEMROWO",2,"LTLPABEAN CANTIAN-LTLASEMROWO","JAWA TIMUR",3
"LTLPABEAN CANTIAN-LTLASEMROWO",2,"LTLPABEAN CANTIAN-LTLASEMROWO","JAWA TIMUR",3
SCIKEBOMAS-SCIGENDING,3,SCIKEBOMAS-SCIGENDING,"KOTA SURABAYA",2
"TIVGEMPOL-TIVPANDAAN PETUNG",3,"TIVGEMPOL-TIVPANDAAN PETUNG","KOTA SURABAYA",2
TIVKEBOMAS-TIVGEDANGAN,3,TIVKEBOMAS-TIVGEDANGAN,"KOTA SURABAYA",2
TIVKEBOMAS-TIVPANDAAN,3,TIVKEBOMAS-TIVPANDAAN,"KOTA SURABAYA",2
TIVKEBOMAS-TIVPANDAAN,3,TIVKEBOMAS-TIVPANDAAN,"KOTA SURABAYA",2
