"TMS ID","Shipment Reference Number","Carrier Name","Charge Code Group","Charge Rate","Rate Basis","Rate","Closed Date","AP Vendor Code","Load Group","Order Groups","Shipper Load Number","First Pick Due Date","First Pick Name","Last Drop City","Last Drop Name","Load Status","Mode","Number of Stops","Pieces","Rate Change Carrier Comment","Rate Change Request Date","Trailer Description","Weight (kg)","Charge Description","Charge Code Category","Carrier Reference","Location Name","Payable Currency","Rate Change Approval Date"
58386674,"0082484025","BAHANA PRESTASI","OTHER CHARGES","200,000.00","FLAT","200,000.00","19/11/2021 09:19","5000000027","SURABAYA LOG BULK","SURABAYA LOG BULK","58386674","13/11/2021 09:00","PKGGRESIK","SOCAH","PKGSOCAH(OW)","Completed","TL",2,30000," ","15/11/2021 14:44","TRONTON_LOSSBAK","30,000.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","19/11/2021 12:16"
58386675,"0082484033","BAHANA PRESTASI","OTHER CHARGES","200,000.00","FLAT","200,000.00","18/11/2021 08:56","5000000027","SURABAYA LOG BULK","SURABAYA LOG BULK","58386675","13/11/2021 09:00","PKGGRESIK","SOCAH","PKGSOCAH(OW)","Completed","TL",2,20000," ","15/11/2021 14:45","TRONTON_LOSSBAK","20,000.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","18/11/2021 09:02"
58389381,"8872009777","BAHANA PRESTASI","OTHER CHARGES","170,000.00","FLAT","170,000.00","25/11/2021 15:45","5000000027","SURABAYA LOG PACK","SURABAYA LOG PACK","58389381","15/11/2021 07:00","WGNKARANGPILANG","KALIDERES","WGNKALIDERES","Completed","TL",2,1600," ","16/11/2021 11:54","TRONTON_WB","20,000.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","25/11/2021 17:20"
58389382,"9072006814","BAHANA PRESTASI","OTHER CHARGES","100,000.00","FLAT","100,000.00","26/11/2021 11:51","5000000027","SURABAYA LOG PACK","SURABAYA LOG PACK","58389382","15/11/2021 07:00","WGNKRIAN","GUNUNG SINDUR","WGNGUNUNG SINDUR","Completed","TL",2,1600," ","16/11/2021 11:55","TRONTON_WB","20,000.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","26/11/2021 14:11"
58390026,"40523553","BAHANA PRESTASI","OTHER CHARGES","210,000.00","FLAT","210,000.00","17/11/2021 14:18","5000000027","SURABAYA LOG PACK","SURABAYA LOG PACK","58390026","15/11/2021 07:00","SMRRUNGKUT","GEDANGAN","SMRGEDANGAN","Completed","TL",2,1050," ","15/11/2021 18:34","TRONTON_WB","20,000.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","17/11/2021 15:26"
58390027,"40523195","BAHANA PRESTASI","OTHER CHARGES","275,000.00","FLAT","275,000.00","24/11/2021 14:06","5000000027","SURABAYA LOG PACK","SURABAYA LOG PACK","58390027","15/11/2021 07:00","SMRRUNGKUT(1P)","NGALIYAN","SMRNGALIYAN","Completed","TL",2,1004," ","15/11/2021 18:39","TRONTON_WB","20,000.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","24/11/2021 17:52"
58390028,"40518985","BAHANA PRESTASI","OTHER CHARGES","70,000.00","FLAT","70,000.00","22/11/2021 15:57","5000000027","SURABAYA LOG PACK","SURABAYA LOG PACK","58390028","15/11/2021 07:00","SMRRUNGKUT(1P)","UNGARAN TIMUR","SMRUNGARAN TIMUR","Completed","TL",2,1200," ","15/11/2021 18:41","TRONTON_WB","20,000.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","22/11/2021 16:34"
58390383,"1000354875,1000354779","BAHANA PRESTASI","OTHER CHARGES","54,000.00","FLAT","54,000.00","16/11/2021 10:47","5000000027","SURABAYA RENTAL TRIP","SURABAYA RENTAL TRIP","58390383","15/11/2021 12:00","NLSBUDURAN","GEDANGAN","NLSGEDANGAN(SAT_SIDOARJO)","Completed","TL",3,36," ","15/11/2021 15:59","CDE_CHILLER","36.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","16/11/2021 15:44"
58390383,"1000354875,1000354779","BAHANA PRESTASI","OTHER CHARGES","422,500.00","FLAT","422,500.00","16/11/2021 10:47","5000000027","SURABAYA RENTAL TRIP","SURABAYA RENTAL TRIP","58390383","15/11/2021 12:00","NLSBUDURAN","GEDANGAN","NLSGEDANGAN(SAT_SIDOARJO)","Completed","TL",3,36," ","15/11/2021 15:59","CDE_CHILLER","36.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","16/11/2021 15:44"
58390385,"1000354792","BAHANA PRESTASI","OTHER CHARGES","204,000.00","FLAT","204,000.00","16/11/2021 10:47","5000000027","SURABAYA RENTAL TRIP","SURABAYA RENTAL TRIP","58390385","15/11/2021 12:00","NLSBUDURAN","KALIWATES","NLSKALIWATES(SAT_JEMBER)","Completed","TL",2,18," ","15/11/2021 16:01","CDD_CHILLER","18.00","TMB_BONGKAR","OTHER CHARGES","0027","ALL","IDR","16/11/2021 15:44"
