Reference ;Name;Status;Address 1;Address 2;Address 3;City;State;Postal Code;Country;Time Zone;Parent Customer;Default Freight Terms;Freight Billable Party;Supports Billable Rating?;Supports Manual Billable Rate?;Billable Methods;Default Billable Method;Default Trans. Currency;Bill Canadian Taxes?;Bill Value Added Taxes?;Supports Billable Invoicing?;Requires POD?;Shipment Consolidation;Geography Consolidation
3000021646;CV.DUA MARELIKA GEMILANG;ENABLED;SAREH, KOTABARU,GONDOKUSUMAN, KOTA YOGYAKARTA;;;YOGYAKARTA;YO;;ID;Asia/Jakarta;3000021646;;3000021646;YES;NO;DMG_SMG(T);;IDR;NO;No;YES;YES;Allow;Both
3000020136;DAELIM CORPORATION;ENABLED;11F, KCCI BLDG, 39, SEJONG-DAERO;JUNG-GU;;JAKARTA;JK;;ID;Asia/Jakarta;3000020136;;3000020136;YES;NO;EXIM_DMC(T;EXIM_DMC(T;USD;NO;No;YES;YES;Allow;Both
OTC2711TRD;DASRUL;ENABLED;PERUM LAKSANA PERMAI I;BLOK L 07 RT. 048;LINGKAR SELATAN;JAMBI SELATAN;JA;36154;ID;Asia/Jakarta;OTC2711TRD;;OTCNONTRADE;YES;NO;DAS(TO);;IDR;NO;No;YES;YES;Allow;Both
3000018657;DIVA TRANS;ENABLED;;;;SURABAYA;JI;;ID;Asia/Jakarta;3000018657;;3000018657;YES;YES;DIT_SBY(T);;IDR;NO;No;YES;YES;Allow;Both
3000015775;DOLLAR FURNITURE;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000015775;;;NO;;;;;;;NO;;;
3000018552;DYNAMIC BOILER NUSANTARA;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000018552;;;NO;;;;;;;NO;;;
3000001607;DYNAPLAST;ENABLED;MENARA DYNAPLAST LT 9-10;JL M.H. THAMRIN  NO 1. LIPPO KARAWACI;KELAPA DUA, KELAPA DUA;TANGERANG;JB;;ID;Asia/Jakarta;3000001607;;3000001607;YES;YES;DYN_SBYTRI,EXIM_DYN;;IDR;NO;No;YES;YES;Allow;Both
3000018458;DYNIC TEXTILE PRESTIGE;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000018458;;;NO;;;;;;;NO;;;
3000009088;ECCO INDONESIA;ENABLED;;;;SURABAYA;JI;;ID;Asia/Jakarta;3000009088;;3000009088;YES;NO;ECI_SBY(T),ECI_SBCD;;IDR;NO;No;YES;YES;Allow;Both
3000001618;ECCO TANNERY INDONESIA;ENABLED;;;;SURABAYA;JI;;ID;Asia/Jakarta;3000001618;;3000001618;YES;NO;ETI_SBY(T);;IDR;NO;No;YES;YES;Allow;Both
3000001665;ELANG PERDANA TYRE INDUSTRY;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000001665;;3000001665;YES;NO;EXIM_EPT(T;;IDR;NO;No;YES;YES;Allow;Both
3000007217;ELITE INTERNATIONAL LOGISTIC (M);ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000007217;;;NO;;;;;;;NO;;;
3000007219;ELITE INTERNATIONAL LOGISTICS;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000007219;;;NO;;;;;;;NO;;;
3000019022;ERWIN PRAYOGA;ENABLED;;;;SURABAYA;JI;;ID;Asia/Jakarta;3000019022;;3000019022;YES;YES;ERP_SBY(T);;IDR;NO;No;YES;YES;Allow;Both
3000017658;FAR EAST LEAF INDONESIA;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000017658;;;NO;;;;;;;NO;;;
3000019715;FASTANA LOGISTIK INDONESIA;ENABLED;JL SUCI NO 114 RT 7 RW 4;;DKI JAKARTA;JAKARTA;JK;13750;ID;Asia/Jakarta;3000019715;;3000019715;YES;NO;FLI_SBY(T);;IDR;NO;No;YES;YES;Allow;Both
3000011262;FENIX FREIGHT;ENABLED;TRIGATE, 6TH FLOOR, 210-222;HAGLEY ROAD WEST;BIRMINGHAM;JAKARTA;JK;;ID;Asia/Jakarta;3000011262;;3000011262;YES;NO;EXIM_FEF_S;;USD;NO;No;YES;YES;Allow;Both
3000018153;FERTILIZER INTI TECHNOLOGY;ENABLED;JL RAYA MANYAR KM 11;KAWASAN INDUSTRI BERKAH MANYAR BLOK E-10;MANYAR, SIDORUKUN;GRESIK;JI;61151;ID;Asia/Jakarta;3000018153;;3000018153;YES;NO;EXIM_FITSB;;IDR;NO;No;YES;YES;Allow;Both
3000018130;FIRST CABLE INDUSTRIES;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000018130;;;NO;;;;;;;NO;;;
3000001937;GARUDAFOOD PUTRA PUTRI JAYA TBK;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000001937;;3000001937;YES;NO;EXIM_GPJ(T,EXIM_GPJSB;;IDR;NO;No;YES;YES;Allow;Both
3000018705;GCB COCOA INDONESIA;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000018705;;3000018705;YES;NO;EXIM_GCI(T;;IDR;NO;No;YES;YES;Allow;Both
3000017789;GLOBAL TIGA BERLIAN;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000017789;;;NO;;;;;;;NO;;;
3000018573;GLOBAL TRANS MAJU EMPAT EMPAT;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000018573;;;NO;;;;;;;NO;;;
3000007275;GLOBE EXPRESS LOGISTICS CO.,LTD;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000007275;;;YES;NO;EXIM_GELSB;;USD;NO;No;YES;YES;Allow;Both
3000017794;GOLD COIN TRADING INDONESIA;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000017794;;;NO;;;;;;;NO;;;
3000002037;GRAHA SERIBUSATUJAYA;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000002037;;;NO;;;;;;;NO;;;
3000016548;GRAHABERLIAN SEJATI;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000016548;;;NO;;;;;;;NO;;;
3000019399;GRAND PASIFIC PRATAMA;ENABLED;JL. TRUNOJOYO NO.88, NAMBANGAN KIDUL, MANGUHARJO;;;MADIUN;JI;63128;ID;Asia/Jakarta;3000019399;;3000019399;YES;NO;GPP(TO);;IDR;NO;No;YES;YES;Allow;Both
3000016749;GREENFIELDS DAIRY INDONESIA;ENABLED;;;;SURABAYA;JI;;ID;Asia/Jakarta;3000016749;;3000016749;YES;NO;GDI_SBY(T);;IDR;NO;No;YES;YES;Allow;Both
3000002062;GS BATTERY;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000002062;;;NO;;;;;;;NO;;;
3000021044;GUNUNG SLAMAT;ENABLED;JL. HOS. COKRO AMINOTO, KEDUNGCOKOL, SLAWI WETAN,;;;SLAWI;JT;;ID;Asia/Jakarta;3000021044;;3000021044;YES;NO;GST_SMG(TO;;IDR;NO;No;YES;YES;Allow;Both
3000018728;HARMONI DINAMIK INDONESIA;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000018728;;3000018728;YES;NO;EXIM_HDI(T;;IDR;NO;No;YES;YES;Allow;Both
3000018627;HARMONY DEKORINDO;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000018627;;;NO;;;;;;;NO;;;
3000008809;IDLE CAP;ENABLED;;;;JAKARTA;JK;12210;ID;Asia/Jakarta;3000008809;;3000008809;YES;NO;IDC(TO);;IDR;NO;No;YES;YES;Do Not Allow;None
3000018014;IFL LOGISTICS (SHANGHAI) CO.,LTD;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000018014;;3000018014;YES;YES;EXIM_IFL(T;;IDR;NO;No;YES;YES;Allow;Both
3000002489;INDOCIPTA WISESA;ENABLED;KAWASAN INDUSTRI CANDI BLOK 19 KAVLING 9/10;;;SEMARANG;JT;;ID;Asia/Jakarta;3000002489;;3000002489;YES;NO;ICW_SMG(TO;;IDR;NO;No;YES;YES;Allow;Both
3000002599;INSERA SENA;ENABLED;JL JAWA NO 393, BINANGUN;WADUNGASIH, KEC. BUDURAN;SIDOARJO;SIDOARJO;JI;61252;ID;Asia/Jakarta;3000002599;;3000002599;YES;YES;EXIM_ISSSB;;IDR;NO;No;YES;YES;Allow;Both
3000019453;INTERBUANA MAKMUR;ENABLED;JL. DHARMA RAKYAT I/ 15;;;SURABAYA;JI;;ID;Asia/Jakarta;3000019453;;3000019453;YES;NO;IBM(TO);;IDR;NO;No;YES;YES;Allow;Both
3000007355;INTERKRAFT;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000007355;;;NO;;;;;;;NO;;;
3000018654;INTI GLOBAL NETWORK;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000018654;;3000018654;YES;NO;EXIM_IGN(T;;IDR;NO;No;YES;YES;Allow;Both
3000018768;JASA PRIMA LOGISTIK BULOG;ENABLED;;;;SURABAYA;JI;;ID;Asia/Jakarta;3000018768;;3000018768;YES;NO;JPL_SBY(T);;IDR;NO;No;YES;YES;Allow;Both
3000017014;JFE SHOJI ELECTRONICS CORPORATION;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000017014;;3000017014;YES;NO;JFE(TO);;IDR;NO;No;YES;YES;Allow;Both
3000018646;KANAK TRANSPORT INDONESIA;ENABLED;;;;SURABAYA;JI;;ID;Asia/Jakarta;3000018646;;3000018646;YES;NO;KTI_SBY(T);;IDR;NO;No;NO;;;
3000018398;KARAS INDUSTRI PAPUA;ENABLED;;;;SURABAYA;JI;;ID;Asia/Jakarta;3000018398;;3000018398;YES;NO;EXIM_KIP_S;;IDR;NO;No;YES;NO;Do Not Allow;None
3000003084;KIA SERPIH MAS;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000003084;;;NO;;;;;;;NO;;;
3000017804;KINAR PROSPEK TEKNOLOGI;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000017804;;3000017804;YES;NO;EXIM_KPT(T;;IDR;NO;No;YES;YES;Allow;Both
3000017669;KINO FOOD INDONESIA;ENABLED;KINO TOWER LT 12, JALUR SUTERA BOULEVARD NO.1;;;TANGERANG;BT;;ID;Asia/Jakarta;3000017669;;3000017669;YES;NO;KFI_SBYTRI,KFI_SMG(T);;IDR;NO;No;YES;YES;Allow;Both
3000017245;KOYORAD JAYA INDONESIA;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000017245;;;NO;;;;;;;NO;;;
3000017110;KREASI INDAH SELARAS;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000017110;;;NO;;;;;;;NO;;;
3000020687;LANGGENG AMANAH EXPRESS;ENABLED;RUKAN THEWALK;JL JAKARTA GARDEN CITY BOULEVARD NO 11;;JAKARTA;JK;13910;ID;Asia/Jakarta;3000020687;;3000020687;YES;NO;EXIM_LAESB;;IDR;NO;No;YES;YES;Allow;Both
8000000501;LAUTAN OTSUKA CHEMICAL;ENABLED;JL.AIP II KS.TUBUN NO.77 GRAHA INDRAMAS LT.5 SLIPI;;;JAKARTA BARAT;JK;11410;ID;Asia/Jakarta;8000000501;;8000000501;YES;NO;LOC(TR);;IDR;NO;No;YES;YES;Allow;Both
3000018566;LINTAS TIRTA TRANS;ENABLED;;;;SURABAYA;JI;;ID;Asia/Jakarta;3000018566;;3000018566;YES;NO;LTT_SBY(T);;IDR;NO;No;YES;YES;Allow;Both
3000019392;LIVIA MANDIRI SEJATI;ENABLED;JL. RAYA TEMBUS BARU KOTAKAN UTARA SITUBONDO;KABUPATEN SITUBONDO, PROVINSI JAWA TIMUR 68313;SITUBONDO;SITUBONDO;JI;68313;ID;Asia/Jakarta;3000019392;;3000019392;YES;NO;LMS(TO);;IDR;NO;No;YES;YES;Allow;Both
3000015651;LONGHI GROUP INTERNATIONAL;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000015651;;3000015651;YES;NO;EXIM_LGI(T;;IDR;NO;No;YES;YES;Allow;Both
3000015170;MACNELS EXPRESS PRATAMA;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000015170;;;NO;;;;;;;NO;;;
3000018833;MADISON 88 LTD.;ENABLED;15 WEST 36TH;STREET 14TH FLOOR;NEW YORK;NEW YORK;NY;10018;US;America/New_York;3000018833;;3000018833;YES;NO;EXIM_MAD;;USD;NO;No;YES;YES;Allow;None
3000019396;MAGO PASIFIC ABADI;ENABLED;;;;MOJOKERTO;JI;;ID;Asia/Jakarta;3000019396;;3000019396;YES;NO;MPA(TO);;IDR;NO;No;YES;YES;Allow;Both
MALDAYEUHKOLOT;MALDAYEUHKOLOT;ENABLED;DAYEUHKOLOT;DAYEUHKOLOT;BANDUNG;DAYEUHKOLOT;JB;40256;ID;Asia/Jakarta;MALDAYEUHKOLOT;;;NO;;;;;;;NO;;;
MALNGORO;MALNGORO;ENABLED;NGORO;NGORO;MOJOKERTO;NGORO;JI;61385;ID;Asia/Jakarta;MALNGORO;;;NO;;;;;;;NO;;;
3000018662;MANDIRI PRATAMA KONSOLIDATOR;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000018662;;;NO;;;;;;;NO;;;
3000017469;MAQPRO BIOTECH INDONESIA;ENABLED;;;;SURABAYA;JI;;ID;Asia/Jakarta;3000017469;;3000017469;YES;NO;EXIM_MBISB,MBI_SBY(T);;IDR;NO;No;YES;YES;Allow;Both
3000012984;MATRIKSTAMA ANDALAN MITRA;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000012984;;3000012984;YES;NO;EXIM_MAM;;IDR;NO;No;YES;YES;Allow;Both
3000018703;MAXIMA EXPRESS PRATAMA;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000018703;;;NO;;;;;;;NO;;;
3000012975;MEDAN SUGAR INDUSTRY;ENABLED;JL. PULAU TANAH MASA KIM TAHAP II SAENTIS PERCUT S;SEI TUAN;;DELI SERDANG;SU;20371;ID;Asia/Jakarta;3000012975;;3000012975;YES;NO;MSI_MDN(KG;;IDR;NO;No;YES;YES;Allow;Both
3000003696;MEROKE TETAP JAYA;ENABLED;;;;SURABAYA;JI;;ID;Asia/Jakarta;3000003696;;3000003696;YES;NO;EXIM_MTJ_S;;IDR;NO;No;YES;YES;Allow;Both
3000017308;METRO PEARL INDONESIA;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000017308;;;NO;;;;;;;NO;;;
3000019418;MITRA SETIA ABADI;ENABLED;;;;SURABAYA;JI;;ID;Asia/Jakarta;3000019418;;;NO;;;;;;;NO;;;
3000003865;MULTI ANUGERAH LESTARI TEXINDO;ENABLED;DS CANDIHARJO, CANDIHARJO;;;MOJOKERTO;JI;61385;ID;Asia/Jakarta;3000003865;;3000003865;YES;NO;EXIM_MALSB,MAL_SBY(KG;;IDR;NO;No;YES;YES;Allow;Both
3000018940;MULTI TERMINAL INDONESIA;ENABLED;;;;SURABAYA;JI;;ID;Asia/Jakarta;3000018940;;3000018940;YES;NO;MTI_SBY(T);;IDR;NO;No;YES;YES;Allow;Both
3000019419;NHF AUTO SUPPLIES INDONESIA;ENABLED;JL. KAPUK KAMAL RAYA NO.39, KAMAL MUARA;PENJARINGAN, JAKARTA UTARA;;JAKARTA UTARA;JK;14470;ID;Asia/Jakarta;3000019419;;3000019419;YES;NO;NHF(TO);;IDR;NO;No;YES;YES;Allow;Both
3000008806;NIPPON INDOSARI CORPINDO, TBK;ENABLED;JL. SELAYAR BLOK A9 KAWASAN INDUSTRI MM2100;;0;CIKARANG BARAT;JB;20241;ID;Asia/Jakarta;3000008806;;3000008806;YES;NO;EXIM_NIC_M;;IDR;NO;No;YES;YES;Allow;Both
3000019058;OKAYA;ENABLED;;;;SURABAYA;JI;;ID;Asia/Jakarta;3000019058;;3000019058;YES;NO;OKA_SBY(TR;;IDR;NO;No;YES;NO;Do Not Allow;None
3000014411;OLAK KEMANG;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000014411;;;NO;;;;;;;NO;;;
3000004138;OMYA INDONESIA;ENABLED;;;;SURABAYA;JI;;ID;Asia/Jakarta;3000004138;;3000004138;YES;NO;OMI_SBY(KG;;IDR;NO;No;YES;YES;Allow;Both
3000019892;OZORA MANUNGGAL FREIGHTINDO;ENABLED;JL BUKIT GADING RAYA KOMPLEK GADING BUKIT INDAH F;F NO 16;;JAKARTA UTARA;JK;00000;ID;Asia/Jakarta;3000019892;;3000019892;YES;NO;EXIM_OMF_M;;IDR;NO;No;YES;YES;Allow;Both
3000004176;PABRIK KERTAS NOREE INDONESIA;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000004176;;;NO;;;;;;;NO;;;
3000019367;PADMATIRTA WISESA;ENABLED;JL. KENJERAN NO.501, GADING, KEC. TAMBAKSARI,;KOTA SURABAYA, JAWA TIMUR, 60114;SURABAYA;SURABAYA;JI;60114;ID;Asia/Jakarta;3000019367;;3000019367;YES;NO;PTW(TO);;IDR;NO;No;YES;YES;Allow;Both
3000004248;PANJI MAS TEXTILE;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000004248;;;NO;;;;;;;NO;;;
3000017569;PASARAYA INTERNATIONAL HEDONISARANA;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000017569;;3000017569;YES;NO;EXIM_PIH(T;;IDR;NO;No;YES;YES;Allow;Both
3000016893;PASIFIC HARVEST;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000016893;;3000016893;YES;NO;PHV_SBYTRI;;IDR;NO;No;YES;YES;Allow;Both
3000004297;PELANGI ELASINDO;ENABLED;;;;JAKARTA;JK;;ID;Asia/Jakarta;3000004297;;;NO;;;;;;;NO;;;
3000020980;PEMUDA PRIMA USAHA;ENABLED;JL RAYA NGAGEL 179-183;SURABAYA;;SURABAYA;JI;60246;ID;Asia/Jakarta;3000020980;;3000020980;YES;NO;EXIM_PPUSB;;IDR;NO;No;YES;YES;Allow;Both
3000019328;PESONA MULTI TRANS;ENABLED;;;;SURABAYA;JI;;ID;Asia/Jakarta;3000019328;;3000019328;YES;NO;PMT_SBY(T);;IDR;NO;No;YES;YES;Allow;Both
3000004421;PISMA PUTRA TEXTILE;ENABLED;JL. RAYA PAIT, KM. 10, SAWAH, YOSOREJO, KEC. SIWAL;;;PEKALONGAN;JT;;ID;Asia/Jakarta;3000004421;;3000004421;YES;NO;PPX_SMG(TO;;IDR;NO;No;YES;YES;Allow;Both
