1209,AJI(TRIP_ONCALL),DEFAULT,ALL,"AJITELUK JAMBE TIMUR(ZODOL)","AJITAMBUN SELATAN"
1210,AJI(TRIP_ONCALL),DEFAULT,ALL,"AJITELUK JAMBE TIMUR(ZODOL)",AJIPONDOKGEDE
1211,AJI(TRIP_ONCALL),DEFAULT,ALL,"AJITELUK JAMBE TIMUR(ZODOL)","AJITAMBUN SELATAN"
1212,AJI(TRIP_ONCALL),DEFAULT,ALL,"AJITELUK JAMBE TIMUR(ZODOL)",AJIMUSTIKAJAYA
1213,AJI(TRIP_ONCALL),DEFAULT,ALL,"AJITELUK JAMBE TIMUR(ZODOL)",AJIBABELAN
1214,AJI(TRIP_ONCALL),DEFAULT,ALL,"AJITELUK JAMBE TIMUR(ZODOL)","AJIBEKASI UTARA"
1215,AJI(TRIP_ONCALL),DEFAULT,ALL,"AJITELUK JAMBE TIMUR(ZODOL)","AJIBEKASI SELATAN"
1216,AJI(TRIP_ONCALL),DEFAULT,ALL,"AJITELUK JAMBE TIMUR(ZODOL)","AJITANJUNG PRIOK"
1217,AJI(TRIP_ONCALL),DEFAULT,ALL,"AJITELUK JAMBE TIMUR(ZODOL)","AJIBANYUSARI KARAWANG"
1225,AJI(TRIP_ONCALL),DEFAULT,ALL,"AJITELUK JAMBE TIMUR","AJICIKARANG SELATAN"
1226,AJI(TRIP_ONCALL),DEFAULT,ALL,"AJITELUK JAMBE TIMUR(SPM)",AJICIPUTAT
1228,AJI(TRIP_ONCALL),DEFAULT,ALL,"AJITELUK JAMBE TIMUR(SPM)","AJICIKARANG SELATAN"
1246,AJI(TRIP_ONCALL),DEFAULT,ALL,"AJITELUK JAMBE TIMUR(ZODOL)","AJITAMBUN SELATAN"
1247,AJI(TRIP_ONCALL),DEFAULT,ALL,"AJITELUK JAMBE TIMUR(ZODOL)",AJIANJATAN
1248,AJI(TRIP_ONCALL),DEFAULT,ALL,"AJITELUK JAMBE TIMUR(ZODOL)",AJIANJATAN
1249,AJI(TRIP_ONCALL),DEFAULT,ALL,"AJITELUK JAMBE TIMUR(ZODOL)",AJIANJATAN
1261,AJI(TRIP_ONCALL),DEFAULT,ALL,"AJITELUK JAMBE TIMUR(ZODOL)","AJIBEKASI SELATAN"
1262,AJI(TRIP_ONCALL),DEFAULT,ALL,"AJITELUK JAMBE TIMUR(ZODOL)","AJITAMBUN SELATAN"
1263,AJI(TRIP_ONCALL),DEFAULT,ALL,"AJITELUK JAMBE TIMUR(ZODOL)",AJIPONDOKGEDE
1264,AJI(TRIP_ONCALL),DEFAULT,ALL,"AJITELUK JAMBE TIMUR(ZODOL)","AJIBEKASI SELATAN"
1265,AJI(TRIP_ONCALL),DEFAULT,ALL,"AJITELUK JAMBE TIMUR(ZODOL)","AJITANJUNG PRIOK"
1270,AJI(TRIP_ONCALL),DEFAULT,ALL,"AJITELUK JAMBE TIMUR",AJIKASOMALANG
1277,AJI(TRIP_ONCALL),DEFAULT,ALL,"AJITELUK JAMBE TIMUR",AJISERANGPANJANG
1285,AJI(TRIP_ONCALL),DEFAULT,ALL,"AJITELUK JAMBE TIMUR(ZODOL)","AJIKARAWANG BARAT"
1286,AJI(TRIP_ONCALL),DEFAULT,ALL,"AJITELUK JAMBE TIMUR(ZODOL)","AJICILAMAYA KULON"
1386,AKU_SMG(TRIP),DEFAULT,ALL,"AKUSEMARANG UTARA",AKUJATEN
1403,AMA(RENTAL),DEFAULT,ALL,,
1404,AMA(RENTAL),DEFAULT,ALL,,
1405,AMA(RENTAL),DEFAULT,ALL,,
1406,AMA(TR),DEFAULT,ALL,AMAKLAPANUNGGAL,AMAJAYANTI
1411,AMA(TR),DEFAULT,ALL,"AMAGUNUNG PUTRI","AMAKEDUNG WARINGIN"
1429,AMA(TR),DEFAULT,ALL,AMAKLAPANUNGGAL,"AMACIKARANG PUSAT"
1431,AMA(TR),DEFAULT,ALL,"AMAGUNUNG PUTRI",AMAJAYANTI
1449,AMA(TR),DEFAULT,ALL,"AMAGUNUNG PUTRI","AMACIKARANG TIMUR"
1477,AMA(TR),DEFAULT,ALL,"AMAGUNUNG PUTRI","AMACIKARANG PUSAT"
1502,AMA(TR),DEFAULT,ALL,"AMAGUNUNG PUTRI","AMAMANGGA BESAR"
1559,AMA(TR),DEFAULT,ALL,"AMAGUNUNG PUTRI",AMACICAU
1562,AMA(TR),DEFAULT,ALL,"AMAGUNUNG PUTRI",AMASUKABAKTI
1576,AMA(TR),DEFAULT,ALL,"AMAGUNUNG PUTRI",AMATIGARAKSA
1623,AMA(TRIP),DEFAULT,ALL,AMAKLAPANUNGGAL,AMAJAYANTI
1625,AMA(TRIP),DEFAULT,ALL,"AMAGUNUNG PUTRI",AMAJAYANTI
1629,AMA(TRIP),DEFAULT,ALL,"AMAGUNUNG PUTRI",AMAJAYANTI
1654,AMA(TRIP),DEFAULT,ALL,"AMAGUNUNG PUTRI","AMAKEDUNG WARINGIN"
1662,AMA(TRIP),DEFAULT,ALL,"AMAGUNUNG PUTRI","AMACAMPAKA PURWAKARTA"
1664,AMA(TRIP),DEFAULT,ALL,"AMAGUNUNG PUTRI","AMACAMPAKA PURWAKARTA"
1684,AMA(TRIP),DEFAULT,ALL,AMAKLAPANUNGGAL,AMAJAYANTI
