2371,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACENGKARENG
2372,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANACIBOGO SUBANG"
2373,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANACIBOGO SUBANG"
2374,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACIGUDEG
2375,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANACIKARANG TIMUR"
2376,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANACIKARANG UTARA"
2377,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACIKOLE
2378,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACIKOLE
2379,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACILANDAK
2380,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACILANDAK
2381,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACIMANGGIS
2382,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACIMANGGIS
2383,ANA(TRIP),DEFAULT,ALL,ANAKLAPANUNGGAL,ANACIMANGGIS
2384,ANA(TRIP),DEFAULT,ALL,ANAKLAPANUNGGAL,ANACIMANGGIS
2385,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACIRACAS
2386,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACIRACAS
2387,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACISOKA
2388,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACISOKA
2389,ANA(TRIP),DEFAULT,ALL,ANAKLAPANUNGGAL,ANACISOKA
2390,ANA(TRIP),DEFAULT,ALL,ANAKLAPANUNGGAL,ANACISOKA
2391,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANADENPASAR UTARA"
2392,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANABLIMBING
2393,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANABLIMBING
2394,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI(OS)",ANABLIMBING(OS)
2395,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI(OS)",ANABLIMBING(OS)
2396,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANABOJONGSARI
2397,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANABUKATEJA
2398,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANABUKATEJA
2399,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI(1P)",ANABUKATEJA
2400,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI(1P)",ANABUKATEJA
2401,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANACAMPAKA PURWAKARTA"
2402,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANACAMPAKA PURWAKARTA"
2403,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACENGKARENG
2404,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAHARJAMUKTI
2405,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAJAYANTI
2406,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAKARANGAMPEL INDRAMAYU"
2407,ANA(TRIP),DEFAULT,ALL,ANAKLAPANUNGGAL,"ANAKARANGAMPEL INDRAMAYU"
2408,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKATAPANG
2409,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPAGEDANGAN
2410,ANA(TRIP),DEFAULT,ALL,ANAKLAPANUNGGAL(1P),ANAJEBRES
2411,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAILIR TIMUR I"
2412,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAJAMBI LUAR KOTA"
2413,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAKARANGAMPEL INDRAMAYU"
2414,ANA(TRIP),DEFAULT,ALL,ANAKLAPANUNGGAL,ANAJAYANTI
2415,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAJENU TUBAN"
2416,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAJENU TUBAN"
2417,ANA(TRIP),DEFAULT,ALL,ANAKLAPANUNGGAL,"ANAJENU TUBAN"
2418,ANA(TRIP),DEFAULT,ALL,ANAKLAPANUNGGAL,"ANAJENU TUBAN"
2419,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI(1P)",ANAJEBRES
2420,ANA(TRIP),DEFAULT,ALL,ANAKLAPANUNGGAL,"ANAKARANGAMPEL INDRAMAYU"
2421,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKARAWACI
2422,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKATAPANG
2423,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI(1P)",ANAKENDAL
2424,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKIARACONDONG
2425,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKLARI
2426,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKRAMATWATU
2427,ANA(TRIP),DEFAULT,ALL,ANAKLAPANUNGGAL,ANAKREMBANGAN
2428,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAMAUK
2429,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAMAUK
2430,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANASUKASARI BANDUNG"
2431,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAHARJAMUKTI
2432,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAJAYANTI
2433,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPADALARANG
2434,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI(1P)",ANATASIKMADU
2435,ANA(TRIP),DEFAULT,ALL,ANAKLAPANUNGGAL(1P),ANATASIKMADU
2436,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANATELUKNAGA
2437,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANADENPASAR UTARA"
2438,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKENDAL
2439,ANA(TRIP),DEFAULT,ALL,ANAKLAPANUNGGAL,ANALOHBENER
2440,ANA(TRIP),DEFAULT,ALL,ANAKLAPANUNGGAL,ANALOHBENER
2441,ANA(TRIP),DEFAULT,ALL,ANAKLAPANUNGGAL,"ANAPABUARAN SERANG"
2442,ANA(TRIP),DEFAULT,ALL,ANAKLAPANUNGGAL,"ANAPABUARAN SERANG"
2443,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPENJARINGAN
2444,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANASERANG
2445,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANASERANG
2446,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANASUKARAME LAMPUNG"
2447,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANASUKMAJAYA
2448,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKREMBANGAN
2449,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAPABUARAN SERANG"
2450,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAPABUARAN SERANG"
2451,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPANCORAN
2452,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPANYILEUKAN
2453,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPENJARINGAN
2454,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANASUKMAJAYA
2455,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANATANJUNG BINTANG"
2456,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANATANJUNG BINTANG"
2457,ANA(TRIP),DEFAULT,ALL,ANAKLAPANUNGGAL(1P),ANATASIKMADU
2458,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPANCORAN
2459,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPANIMBANG
2460,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPANIMBANG
2461,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPANYILEUKAN
2462,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAPASAR KEMIS"
2463,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANATANJUNG PRIOK"
2464,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANATEBET
2465,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANATELUKNAGA
2466,ANA(TRIP),DEFAULT,ALL,ANAKLAPANUNGGAL(1P),ANAJEBRES
2467,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAILIR TIMUR I"
2468,ANA(TRIP),DEFAULT,ALL,ANAKLAPANUNGGAL,ANAJAYANTI
2469,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKARAWACI
2470,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAKEDUNG WARINGIN"
2471,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI(1P)",ANAKENDAL
2472,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANATEBET
2473,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANATELUKJAMBE BARAT"
2474,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANATELUKJAMBE BARAT"
2475,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAWARUDOYONG
2476,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPADALARANG
2477,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPAGEDANGAN
2478,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAPASAR KEMIS"
2479,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANASOREANG
2480,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANASOREANG
2481,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANASUKASARI BANDUNG"
2482,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANATANJUNG PRIOK"
2483,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANATANJUNGSARI
2484,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAWARUDOYONG
2485,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI(1P)",ANAJEBRES
2486,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKENDAL
2487,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKIARACONDONG
2488,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKRAMATWATU
2489,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKREMBANGAN
2490,ANA(TRIP),DEFAULT,ALL,ANAKLAPANUNGGAL,ANAKREMBANGAN
2491,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANALOHBENER
2492,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANALOHBENER
2493,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANASUKARAME LAMPUNG"
2494,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI(1P)",ANATASIKMADU
2495,ANA(TRIP),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKLARI
2496,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACILANDAK
2497,ANA(TRIP_ONCALL),DEFAULT,ALL,ANAKLAPANUNGGAL,ANACISOKA
2498,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANADENPASAR UTARA"
2499,ANA(TRIP_ONCALL),DEFAULT,ALL,ANAKLAPANUNGGAL,ANAKREMBANGAN
2500,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANALOHBENER
2501,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANALOHBENER
2502,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAPABUARAN SERANG"
2503,ANA(TRIP_ONCALL),DEFAULT,ALL,ANAKLAPANUNGGAL(1P),ANAJEBRES
2504,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKATAPANG
2505,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI(1P)",ANAKENDAL
2506,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKIARACONDONG
2507,ANA(TRIP_ONCALL),DEFAULT,ALL,ANAKLAPANUNGGAL,ANALOHBENER
2508,ANA(TRIP_ONCALL),DEFAULT,ALL,ANAKLAPANUNGGAL,ANALOHBENER
2509,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPAGEDANGAN
2510,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPENJARINGAN
2511,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANASERANG
2512,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANASUKARAME LAMPUNG"
2513,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANASUKASARI BANDUNG"
2514,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANATANJUNG BINTANG"
2515,ANA(TRIP_ONCALL),DEFAULT,ALL,ANAKLAPANUNGGAL(1P),ANATASIKMADU
2516,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANATEBET
2517,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANATEBET
2518,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACENGKARENG
2519,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANACIKARANG UTARA"
2520,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAILIR TIMUR I"
2521,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAJAMBI LUAR KOTA"
2522,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAJENU TUBAN"
2523,ANA(TRIP_ONCALL),DEFAULT,ALL,ANAKLAPANUNGGAL,"ANAJENU TUBAN"
2524,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKARAWACI
2525,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKARAWACI
2526,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKENDAL
2527,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKLARI
2528,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKLARI
2529,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKRAMATWATU
2530,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACIMANGGIS
2531,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACIRACAS
2532,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACISOKA
2533,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAHARJAMUKTI
2534,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKRAMATWATU
2535,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKREMBANGAN
2536,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKREMBANGAN
2537,ANA(TRIP_ONCALL),DEFAULT,ALL,ANAKLAPANUNGGAL,ANAKREMBANGAN
2538,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPANCORAN
2539,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPANCORAN
2540,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPANIMBANG
2541,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPANIMBANG
2542,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPENJARINGAN
2543,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANASUKASARI BANDUNG"
2544,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANATANJUNG PRIOK"
2545,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANATANJUNG PRIOK"
2546,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANATANJUNGSARI
2547,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI(1P)",ANATASIKMADU
2548,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANATELUKJAMBE BARAT"
2549,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANATELUKJAMBE BARAT"
2550,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANATELUKNAGA
2551,ANA(TRIP_ONCALL),DEFAULT,ALL,ANAKLAPANUNGGAL,"ANAPABUARAN SERANG"
2552,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPAGEDANGAN
2553,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPANYILEUKAN
2554,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANASUKARAME LAMPUNG"
2555,ANA(TRIP_ONCALL),DEFAULT,ALL,ANAKLAPANUNGGAL(1P),ANAJEBRES
2556,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI(1P)",ANAJEBRES
2557,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI(1P)",ANAJEBRES
2558,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANABOJONGSARI
2559,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANABUKATEJA
2560,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANABUKATEJA
2561,ANA(TRIP_ONCALL),DEFAULT,ALL,ANAKLAPANUNGGAL,ANACIMANGGIS
2562,ANA(TRIP_ONCALL),DEFAULT,ALL,ANAKLAPANUNGGAL,ANACIMANGGIS
2563,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACIRACAS
2564,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANADENPASAR UTARA"
2565,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAHARJAMUKTI
2566,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAJAYANTI
2567,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAJAYANTI
2568,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKENDAL
2569,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI(1P)",ANAKENDAL
2570,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAMAUK
2571,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPADALARANG
2572,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANASUKMAJAYA
2573,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANATANJUNG BINTANG"
2574,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI(OS)",ANABLIMBING(OS)
2575,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI(OS)",ANABLIMBING(OS)
2576,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI(1P)",ANABUKATEJA
2577,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI(1P)",ANABUKATEJA
2578,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACENGKARENG
2579,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANACIBOGO SUBANG"
2580,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANACIBOGO SUBANG"
2581,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACIGUDEG
2582,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANACIKARANG TIMUR"
2583,ANA(TRIP_ONCALL),DEFAULT,ALL,ANAKLAPANUNGGAL,"ANAJENU TUBAN"
2584,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAKARANGAMPEL INDRAMAYU"
2585,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAKARANGAMPEL INDRAMAYU"
2586,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAPABUARAN SERANG"
2587,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPANYILEUKAN
2588,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAPASAR KEMIS"
2589,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAPASAR KEMIS"
2590,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANASERANG
2591,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANASOREANG
2592,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANASOREANG
2593,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANASUKMAJAYA
2594,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI(1P)",ANATASIKMADU
2595,ANA(TRIP_ONCALL),DEFAULT,ALL,ANAKLAPANUNGGAL(1P),ANATASIKMADU
2596,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANATELUKNAGA
2597,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAWARUDOYONG
2598,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAWARUDOYONG
2599,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANABLIMBING
2600,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANACAMPAKA PURWAKARTA"
2601,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACILANDAK
2602,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACIMANGGIS
2603,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACISOKA
2604,ANA(TRIP_ONCALL),DEFAULT,ALL,ANAKLAPANUNGGAL,ANACISOKA
2605,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAILIR TIMUR I"
2606,ANA(TRIP_ONCALL),DEFAULT,ALL,ANAKLAPANUNGGAL,ANAJAYANTI
2607,ANA(TRIP_ONCALL),DEFAULT,ALL,ANAKLAPANUNGGAL,ANAJAYANTI
2608,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAJENU TUBAN"
2609,ANA(TRIP_ONCALL),DEFAULT,ALL,ANAKLAPANUNGGAL,"ANAKARANGAMPEL INDRAMAYU"
2610,ANA(TRIP_ONCALL),DEFAULT,ALL,ANAKLAPANUNGGAL,"ANAKARANGAMPEL INDRAMAYU"
2611,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKATAPANG
2612,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANAKEDUNG WARINGIN"
2613,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAKIARACONDONG
2614,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAMAUK
2615,ANA(TRIP_ONCALL),DEFAULT,ALL,ANAKLAPANUNGGAL,"ANAPABUARAN SERANG"
2616,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANAPADALARANG
2617,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANABLIMBING
2618,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI","ANACAMPAKA PURWAKARTA"
2619,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACIKOLE
2620,ANA(TRIP_ONCALL),DEFAULT,ALL,"ANAGUNUNG PUTRI",ANACIKOLE
2621,ANA_SBY(TR),DEFAULT,ALL,ANASIDOARJO,ANACIBADAK
2622,ANA_SBY(TR),DEFAULT,ALL,ANASIDOARJO,ANACIAWI
2623,ANA_SBY(TR),DEFAULT,ALL,ANASIDOARJO,ANACIBARUSAH
2624,ANA_SBY(TR),DEFAULT,ALL,ANASIDOARJO,ANAKALIPURO
2625,ANA_SBY(TR),DEFAULT,ALL,ANABLIMBING,ANASIDOARJO
2626,ANA_SBY(TR),DEFAULT,ALL,ANASIDOARJO,ANAMAOSPATI
2627,ANA_SBY(TR),DEFAULT,ALL,ANASIDOARJO,ANANGAWI
2628,ANA_SBY(TR),DEFAULT,ALL,ANASIDOARJO(PP),"ANASAMBIREJO SRAGEN"
2629,ANA_SBY(TR),DEFAULT,ALL,ANASIDOARJO,ANAKRAKSAAN
2630,ANA_SBY(TR),DEFAULT,ALL,ANASIDOARJO,"ANASAMBIREJO SRAGEN"
