ROW;COMPANY REFERENCE;LOCATION;ADDRESS 1;ADDRESS 2;ADDRESS 3;LATITUDE;LONGITUDE;POSTAL CODE;REVISION
7325;TIVRAYA SIMALUNGUN;TIVRAYA SIMALUNGUN;RAYA SIMALUNGUN;RAYA SIMALUNGUN;SIMALUNGUN;0;0;21160;21162
7417;TIVCIREUREUP(PC);TIVCIREUREUP(PC);CIREUREUP;CIREUREUP;BOGOR;-6,500,552;106,900,555;16811;16810
7433;RKNTELUKJAMBE TIMUR;RKNTELUKJAMBE TIMUR;TELUKJAMBE TIMUR;TELUKJAMBE TIMUR;KARAWANG;-6,335,087;107,321,461;41360;41361
7442;RPTKRAMATWATU;RPTKRAMATWATU;KRAMATWATU;KRAMATWATU;SERANG;0;0;42421;42161
7449;EXIM_LTLCINAMBO;EXIM_LTLCINAMBO;CINAMBO;CINAMBO;BANDUNG;-6,955,919;107,680,431;40296;40294
7477;ABCCIKARANG SELATAN;ABCCIKARANG SELATAN;CIKARANG SELATAN;CIKARANG SELATAN;CIKARANG;-6,355,904;107,121,992;17532;17530
7536;DTIWERU CIREBON;DTIWERU CIREBON;WERU CIREBON;WERU CIREBON;CIREBON;0;0;45159;45154
7539;YOKPADANG SIDEMPUAN TENGGARA;YOKPADANG SIDEMPUAN TENGGARA;PADANG SIDEMPUAN TENGGARA;PADANG SIDEMPUAN TENGGARA;PADANG SIDEMPUAN;137,218;99,273,015;22730;22733
7565;SPMWAY SERDANG;SPMWAY SERDANG;WAY SERDANG;WAY SERDANG;MESUJI/LAMPUNG;0;0;34694;34684
7613;TIVSEI LEPAN;TIVSEI LEPAN;SEI LEPAN;SEI LEPAN;LANGKAT;0;0;20776;20773
7711;AGMCITEUREUP;AGMCITEUREUP;CITEUREUP;CITEUREUP;BOGOR;-6,500,552;106,900,555;16811;16810
7850;YEIMANDAU;YEIMANDAU;MANDAU;MANDAU;BENGKALIS;0;0;28783;28784
7862;YOKKOTABARU CIKAMPEK;YOKKOTABARU CIKAMPEK;KOTABARU CIKAMPEK;KOTABARU CIKAMPEK;CIKAMPEK;-6,421,415;107,471,637;41376;41374
7863;TIVAEK LEDONG;TIVAEK LEDONG;AEK LEDONG;AEK LEDONG;ASAHAN;0;0;21277;21273
7869;APRYOSOREJO;APRYOSOREJO;YOSOREJO;YOSOREJO;PEKALONGAN;-623,682;106,773,595;51157;51137
7913;AMACAMPAKA PURWAKARTA;AMACAMPAKA PURWAKARTA;CAMPAKA;CAMPAKA;PURWAKARTA;0;0;41180;41181
7921;AJITELUK JAMBE TIMUR(ZODOL);AJITELUK JAMBE TIMUR(ZODOL);TELUK JAMBE TIMUR;TELUK JAMBE TIMUR;KARAWANG;-6,335,087;107,321,461;41360;41361
7978;HPKCIKARANG SELATAN;HPKCIKARANG SELATAN;CIKARANG SELATAN;CIKARANG SELATAN;CIKARANG;-6,355,904;107,121,992;17532;17530
7982;ISCCITEUREUP;ISCCITEUREUP;CITEUREUP;CITEUREUP;BOGOR;-6,500,552;106,900,555;16811;16810
8001;GSTNALO TATAN;GSTNALO TATAN;NALO TATAN;NALO TATAN;MERANGIN JAMBI;0;0;37317;37311
8003;HPKCIKARANG SELATAN(OS);HPKCIKARANG SELATAN(OS);CIKARANG SELATAN;CIKARANG SELATAN;CIKARANG;0;0;17532;17530
8112;EXIM_BSRCIKARANG SELATAN;EXIM_BSRCIKARANG SELATAN;CIKARANG SELATAN;CIKARANG SELATAN;CIKARANG;-6,355,904;107,121,992;17532;17530
8113;AMAJAYANTI;AMAJAYANTI;JAYANTI;JAYANTI;TANGERANG;0;0;15611;15610
8229;GCMCIKARANG TIMUR;GCMCIKARANG TIMUR;CIKARANG TIMUR;CIKARANG TIMUR;CIKARANG;-629,428;107,187,905;17533;17530
8234;TMNCIKARANG TIMUR;TMNCIKARANG TIMUR;CIKARANG TIMUR;CIKARANG TIMUR;CIKARANG;-629,428;107,187,905;17533;17530
8255;UVSTELUKJAMBE TIMUR;UVSTELUKJAMBE TIMUR;TELUKJAMBE TIMUR;TELUKJAMBE TIMUR;KARAWANG;-6,335,087;107,321,461;41360;41361
8272;QHLSIDOMULYO LAMPUNG;QHLSIDOMULYO LAMPUNG;SIDOMULYO LAMPUNG;SIDOMULYO LAMPUNG;LAMPUNG;-5,584,475;105,477,108;35352;35353
8291;SGMCITEUREUP(SHUTTLE);SGMCITEUREUP(SHUTTLE);CITEUREUP;CITEUREUP;BOGOR;-6,500,552;106,900,555;16811;16810
