ROW;COMPANY REFERENCE;LOCATION;ADDRESS 1;ADDRESS 2;ADDRESS 3;LATITUDE;LONGITUDE;POSTAL CODE;REVISION
2928;TIVKOTABARU CIKAMPEK;TIVKOTABARU CIKAMPEK;CIKAMPEK UTARA;KOTABARU CIKAMPEK;CIKAMPEK;-6,421,415;107,471,637;41376;41374
2934;TIVTAMBUN UTARA;TIVTAMBUN UTARA;KARANGSATRIA;TAMBUN UTARA;BEKASI;-6,268,253;107,075,647;17511;17510
2937;TIVTELUKJAMBE TIMUR;TIVTELUKJAMBE TIMUR;SIRNABAYA;TELUKJAMBE TIMUR;KARAWANG;-6,335,088;107,321,458;41360;41361
2954;TIVTEGALWARU;TIVTEGALWARU;CINTALAKSANA;TEGALWARU;KARAWANG;-6,520,193;107,214,401;41364;41362
3029;TIVKARANG BAHAGIA;TIVKARANG BAHAGIA;KARANG BAHAGIA;KARANG BAHAGIA;BEKASI;-6,229,908;107,158,466;17535;17530
3041;LTLSUKADIRI;LTLSUKADIRI;GINTUNG;SUKADIRI;TANGERANG;0;0;15532;15530
3053;LTLCIKARANG TIMUR;LTLCIKARANG TIMUR;CIKARANG TIMUR;CIKARANG TIMUR;CIKARANG;0;0;17533;17530
3069;ILCTELUK JAMBE TIMUR;ILCTELUK JAMBE TIMUR;TELUK JAMBE TIMUR;TELUK JAMBE TIMUR;KARAWANG;-6,335,088;107,321,458;41360;41361
3112;TIVTELUK JAMBE TIMUR;TIVTELUK JAMBE TIMUR;TELUK JAMBE TIMUR;TELUK JAMBE TIMUR;KARAWANG;-6,335,088;107,321,458;41360;41361
3129;SKASUKATANI;SKASUKATANI;SUKAMANAH;SUKATANI;BEKASI;0;0;17631;17630
3139;TIVCIKARANG TIMUR;TIVCIKARANG TIMUR;CIKARANG TIMUR;CIKARANG TIMUR;CIKARANG;-629,428;107,187,905;17533;17530
3140;TIVTAMBELANG;TIVTAMBELANG;SUKAMAJU;TAMBELANG;BEKASI;0;0;17621;17620
3154;RBFCIKARANG SELATAN;RBFCIKARANG SELATAN;CIKARANG SELATAN;CIKARANG SELATAN;CIKARANG;0;0;17532;17530
3178;SAMCIKARANG TIMUR;SAMCIKARANG TIMUR;CIKARANG TIMUR;CIKARANG TIMUR;CIKARANG;0;0;17533;17530
3195;SAMKELAPA DUA TANGERANG;SAMKELAPA DUA TANGERANG;KELAPA DUA TANGERANG;KELAPA DUA TANGERANG;TANGERANG;-6,232,494;106,592,438;15811;15810
3209;ABCCINAMBO;ABCCINAMBO;CINAMBO;CINAMBO;BANDUNG;-6,955,919;107,680,431;40296;40294
3217;SMRTAROGONG KIDUL;SMRTAROGONG KIDUL;JAYARAGA;TAROGONG KIDUL;GARUT;0;0;44150;44151
3231;SMETIGARAKSA;SMETIGARAKSA;MATAGARA;TIGARAKSA;TANGERANG;0;0;15721;15720
3319;APRSIWALAN;APRSIWALAN;SIWALAN;SIWALAN;PEKALONGAN;0;0;51157;51137
3380;SSOJAGAKARSA;SSOJAGAKARSA;JAGAKARSA;JAGAKARSA;JAKARTA SELATAN;-632,552;106,837,012;12610;12620
3419;LTLWONOPLOSO;LTLWONOPLOSO;WONOPLOSO;WONOPLOSO;MOJOKERTO;0;0;61728;61372
3446;RAKJATEN;RAKJATEN;JATEN;JATEN;KARANGANYAR;0;0;57771;57731
3454;UZVKADEMANGAN;UZVKADEMANGAN;KADEMANGAN;KADEMANGAN;PROBOLINGGO;-8,199,555;112,106,021;67724;67225
3526;EXIM_MMTARIK;EXIM_MMTARIK;TARIK;TARIK;SIDOARJO;-7,435,111;112,462,089;61301;61265
3577;EXIM_MUMTARIK;EXIM_MUMTARIK;TARIK;TARIK;SIDOARJO;-7,435,111;112,462,089;61301;61265
3638;LTLNGANJUK;LTLNGANJUK;NGANJUK;NGANJUK;NGANJUK;-7,596,376;111,901,515;64412;64411
3820;EXIM_ITTKARANGANYAR;EXIM_ITTKARANGANYAR;KARANGANYAR;KARANGANYAR;SOLO;-7,607,073;110,986,694;57771;57731
3838;GDICIHIDEUNG;GDICIHIDEUNG;CIHIDEUNG;CIHIDEUNG;TASIKMALAYA;0;0;45126;46125
3912;ERPJETIS;ERPJETIS;JETIS;JETIS;MOJOKERTO;0;0;61532;61352
3942;AKUJATEN;AKUJATEN;JATEN;JATEN;KARANGANYAR;0;0;57771;57731
3944;APRJATEN;APRJATEN;JATEN;JATEN;KARANGANYAR;0;0;57771;57731
4075;ILCTELUK JAMBE TIMUR(BL);ILCTELUK JAMBE TIMUR(BL);TELUK JAMBE TIMUR;TELUK JAMBE TIMUR;KARAWANG;-6,335,088;107,321,458;41360;41361
4190;SCINGANJUK;SCINGANJUK;NGANJUK;NGANJUK;NGANJUK;-7,596,376;111,901,515;64412;64411
4253;ASINGANJUK;ASINGANJUK;NGANJUK;NGANJUK;NGANJUK;-7,596,376;111,901,515;64412;64411
4339;AJISERANGPANJANG;AJISERANGPANJANG;SERANGPANJANG;SERANGPANJANG;SUBANG;0;0;41288;41282
4352;IAICITEUREUP;IAICITEUREUP;CITEUREUP;CITEUREUP;BOGOR;-6,485,174;106,872,681;16811;16810
4353;LTLPRAJURIT KULON;LTLPRAJURIT KULON;PRAJURIT KULON;PRAJURIT KULON;MOJOKERTO;-7,474,241;112,424,676;61326;61328
4379;APRJATEN_DDT3;APRJATEN_DDT3;JATEN;JATEN;KARANGANYAR;0;0;57771;57731
4388;APRSLEMAN(MERCUPRIMA);APRSLEMAN(MERCUPRIMA);SLEMAN;SLEMAN;SLEMAN;0;0;55501;55583
4411;MAICITEUREUP;MAICITEUREUP;CITEUREUP;CITEUREUP;BOGOR;-6,485,174;106,872,681;16811;16810
4462;EXIM_LTLBUDURAN;EXIM_LTLBUDURAN;BUDURAN;BUDURAN;SIDOARJO;0;0;61251;61252
4470;AJIKASOMALANG;AJIKASOMALANG;KASOMALANG;KASOMALANG;SUBANG;-6,694,225;107,735,029;41287;41283
4530;AILCIKARANG SELATAN;AILCIKARANG SELATAN;CIKARANG SELATAN;CIKARANG SELATAN;CIKARANG;0;0;17532;17530
4548;AOITELUK JAMBE TIMUR;AOITELUK JAMBE TIMUR;TELUK JAMBE TIMUR;TELUK JAMBE TIMUR;KARAWANG;-6,335,088;107,321,458;41360;41361
4552;APRJATEN_AGUNGKUNCORO;APRJATEN_AGUNGKUNCORO;JATEN;JATEN;KARANGANYAR;0;0;57771;57731
4570;SMRJATEN;SMRJATEN;JATEN;JATEN;KARANGANYAR;0;0;57771;57731
4670;RVSTELUKJAMBE TIMUR;RVSTELUKJAMBE TIMUR;TELUKJAMBE TIMUR;TELUKJAMBE TIMUR;KARAWANG;-6,335,088;107,321,458;41360;41361
4739;CMXCIKARANG SELATAN;CMXCIKARANG SELATAN;CIKARANG SELATAN;CIKARANG SELATAN;CIKARANG;-6,333,725;107,136,541;17750;17530
4787;RVSPALMERAH;RVSPALMERAH;PALMERAH;PALMERAH;JAKARTA BARAT;-6,178,344;106,804,564;11430;11180
4842;TIVTEST;TIVTEST;TES;TEST;MEDAN;0;0;12345;17143
4847;EXIM_LTLCIKARANG TIMUR;EXIM_LTLCIKARANG TIMUR;CIKARANG TIMUR;CIKARANG TIMUR;CIKARANG;0;0;17533;17530
4876;RVSBOJONGMANGU;RVSBOJONGMANGU;BOJONGMANGU;BOJONGMANGU;BEKASI;-6,435,559;107,177,994;17352;17350
4892;SBICITEUREUP;SBICITEUREUP;CITEUREUP;CITEUREUP;BOGOR;-6,485,174;106,872,681;17772;16810
4906;AMACIKARANG TIMUR;AMACIKARANG TIMUR;CIKARANG TIMUR;CIKARANG TIMUR;CIKARANG;0;0;17533;17530
4907;GCMCITEUREUP;GCMCITEUREUP;CITEUREUP;CITEUREUP;BOGOR;-6,485,174;106,872,681;16811;16810
4924;EXIM_LTLGUDO;EXIM_LTLGUDO;GUDO;GUDO;JOMBANG;0;0;61464;61463
4959;RIIBABAKAN CIPARAY;RIIBABAKAN CIPARAY;BABAKAN CIPARAY;BABAKAN CIPARAY;BANDUNG;0;0;40277;40227
4976;RIIBABAKAN CIPARAY(MPU);RIIBABAKAN CIPARAY(MPU);BABAKAN CIPARAY;BABAKAN CIPARAY;BANDUNG;0;0;40277;40227
4980;HMKSINDANG JAYA;HMKSINDANG JAYA;SINDANG JAYA;SINDANG JAYA;TANGERANG;-6,162,793;106,579,602;15561;15560
5010;SMRKOTA JUANG;SMRKOTA JUANG;KOTA JUANG;KOTA JUANG;BIERUN;0;0;24252;24251
5012;SMRKOTO BESAR;SMRKOTO BESAR;KOTO BESAR;KOTO BESAR;DHARMASRAYA;0;0;27685;27684
5013;SMRMANDAU;SMRMANDAU;MANDAU;MANDAU;BENGKALIS;0;0;28783;28784
5020;SMRUJUNG BATU;SMRUJUNG BATU;UJUNG BATU;UJUNG BATU;ROKAN HULU;0;0;28553;28554
5038;SBLTIGARAKSA;SBLTIGARAKSA;TIGARAKSA;TIGARAKSA;TANGERANG;0;0;15721;15720
5054;SKACILAMAYA WETAN;SKACILAMAYA WETAN;CILAMAYA WETAN;CILAMAYA WETAN;KARAWANG;0;0;41386;41384
5077;TIVPADANG SIDEMPUAN BATU NADUA;TIVPADANG SIDEMPUAN BATU NADUA;PADANG SIDEMPUAN BATU NADUA;PADANG SIDEMPUAN BATU NADUA;PADANG SIDEMPUAN;0;0;22731;22733
5116;SSSBOJONGMANGU;SSSBOJONGMANGU;BOJONGMANGU;BOJONGMANGU;BEKASI;-6,435,559;107,177,994;17352;17350
5237;DTICIKARANG SELATAN;DTICIKARANG SELATAN;CIKARANG SELATAN;CIKARANG SELATAN;CIKARANG;-6,355,904;107,121,992;17532;17530
5240;KMIKUTA UTARA;KMIKUTA UTARA;KUTA UTARA;KUTA UTARA;BADUNG/BALI;0;0;80363;80361
5265;EXIM_INDMANDAU;EXIM_INDMANDAU;MANDAU;MANDAU;BENGKALIS;0;0;28783;28784
5267;EXIM_CAPBATANG KUIS;EXIM_CAPBATANG KUIS;BATANG KUIS;BATANG KUIS;DELI SERDANG;0;0;20272;20372
5269;EXIM_CAPMANDAU;EXIM_CAPMANDAU;MANDAU;MANDAU;BENGKALIS;0;0;28783;28784
5279;EXIM_GCMBATANG KUIS;EXIM_GCMBATANG KUIS;BATANG KUIS;BATANG KUIS;DELI SERDANG;0;0;20272;20372
5280;EXIM_GCMMANDAU;EXIM_GCMMANDAU;MANDAU;MANDAU;BENGKALIS;0;0;28783;28784
5290;EXIM_INDBATANG KUIS;EXIM_INDBATANG KUIS;BATANG KUIS;BATANG KUIS;DELI SERDANG;0;0;20272;20372
5300;EXIM_ITTBATANG KUIS;EXIM_ITTBATANG KUIS;BATANG KUIS;BATANG KUIS;DELI SERDANG;0;0;20272;20372
5311;EXIM_KIIBATANG KUIS;EXIM_KIIBATANG KUIS;BATANG KUIS;BATANG KUIS;DELI SERDANG;0;0;20272;20372
5321;EXIM_ITTMANDAU;EXIM_ITTMANDAU;MANDAU;MANDAU;BENGKALIS;0;0;28783;28784
5328;EXIM_LAMBATANG KUIS;EXIM_LAMBATANG KUIS;BATANG KUIS;BATANG KUIS;DELI SERDANG;0;0;20272;20372
5345;EXIM_NICBATANG KUIS;EXIM_NICBATANG KUIS;BATANG KUIS;BATANG KUIS;DELI SERDANG;0;0;20272;20372
5351;ITTBATANG KUIS;ITTBATANG KUIS;BATANG KUIS;BATANG KUIS;DELI SERDANG;0;0;20272;20372
5359;SMRSIAK;SMRSIAK;SIAK;SIAK;SIAK;0;0;28673;28671
5369;EXIM_MJIBATANG KUIS;EXIM_MJIBATANG KUIS;BATANG KUIS;BATANG KUIS;DELI SERDANG;0;0;20272;20372
5371;EXIM_MJIMANDAU;EXIM_MJIMANDAU;MANDAU;MANDAU;BENGKALIS;0;0;28783;28784
5387;INLTEBING;INLTEBING;TEBING;TEBING;KARIMUN;0;0;29668;29663
5391;RLICIKARANG SELATAN;RLICIKARANG SELATAN;CIKARANG SELATAN;CIKARANG SELATAN;CIKARANG;0;0;17532;17530
5413;TIVSILIMAKUTA;TIVSILIMAKUTA;SILIMAKUTA;SILIMAKUTA;SIMALUNGUN;0;0;21169;21167
5460;YOKSIAK;YOKSIAK;SIAK;SIAK;SIAK;0;0;28637;28671
5463;YOKTILATANG KAMANG;YOKTILATANG KAMANG;TILATANG KAMANG;TILATANG KAMANG;BUKITTINGGI;0;0;26455;26152
5496;GCMSINDANG JAYA;GCMSINDANG JAYA;SINDANG JAYA;SINDANG JAYA;TANGERANG;-6,162,793;106,579,602;15561;15560
5510;TIVTEBING TINGGI;TIVTEBING TINGGI;TEBING TINGGI;TEBING TINGGI;SERDANG BEDAGAI;3,327,253;99,161,808;20999;20998
5511;TIVTINADA;TIVTINADA;TINADA;TINADA;PAKPAK BARAT;0;0;22277;22272
5517;YOKMANDAU;YOKMANDAU;MANDAU;MANDAU;BENGKALIS;0;0;28783;28784
5522;YOKPASIR PENYU;YOKPASIR PENYU;PASIR PENYU;PASIR PENYU;INDRAGIRI HULU;0;0;29358;29352
5524;WUJPECANGAAN;WUJPECANGAAN;PECANGAAN;PECANGAAN;JEPARA;-6,688,928;110,701,295;59460;59462
5530;SBLTELUKJAMBE TIMUR;SBLTELUKJAMBE TIMUR;TELUKJAMBE TIMUR;TELUKJAMBE TIMUR;KARAWANG;-6,335,087;107,321,461;41360;41361
5533;DMTSAMBUNGMACAN;DMTSAMBUNGMACAN;SAMBUNGMACAN;SAMBUNGMACAN;SRAGEN;0;0;57523;57253
5548;SSSTELUKJAMBE TIMUR;SSSTELUKJAMBE TIMUR;TELUKJAMBE TIMUR;TELUKJAMBE TIMUR;KARAWANG;-6,335,088;107,321,458;41360;41361
5567;AMNCILAMAYA WETAN;AMNCILAMAYA WETAN;CILAMAYA WETAN;CILAMAYA WETAN;KARAWANG;0;0;41386;41384
5600;EXIM_KIIMANDAU;EXIM_KIIMANDAU;MANDAU;MANDAU;BENGKALIS;0;0;28783;28784
5641;EXIM_NICMANDAU;EXIM_NICMANDAU;MANDAU;MANDAU;BENGKALIS;0;0;28783;28784
5648;EXIM_OMFBATANG KUIS;EXIM_OMFBATANG KUIS;BATANG KUIS;BATANG KUIS;DELI SERDANG;0;0;20272;20372
5650;EXIM_OMFMANDAU;EXIM_OMFMANDAU;MANDAU;MANDAU;BENGKALIS;0;0;28783;28784
5660;UVSTELUKJAMBE TIMUR(BL);UVSTELUKJAMBE TIMUR(BL);TELUKJAMBE TIMUR;TELUKJAMBE TIMUR;KARAWANG;-6,335,087;107,321,461;41360;41361
5668;SKAKOTA BARU CIKAMPEK;SKAKOTA BARU CIKAMPEK;KOTA BARU;KOTA BARU;CIKAMPEK;-6,421,415;107,471,637;41376;41374
5677;EXIM_SDNBATANG KUIS;EXIM_SDNBATANG KUIS;BATANG KUIS;BATANG KUIS;DELI SERDANG;0;0;20272;20372
5680;EXIM_SDNMANDAU;EXIM_SDNMANDAU;MANDAU;MANDAU;BENGKALIS;0;0;28783;28784
5694;EXIM_YOKBATANG KUIS;EXIM_YOKBATANG KUIS;BATANG KUIS;BATANG KUIS;DELI SERDANG;0;0;20272;20372
5697;EXIM_YOKMANDAU;EXIM_YOKMANDAU;MANDAU;MANDAU;BENGKALIS;0;0;28783;28784
5783;EXIM_GPJCINAMBO;EXIM_GPJCINAMBO;CINAMBO;CINAMBO;BANDUNG;-6,955,919;107,680,431;40296;40294
5832;SHPCINAMBO;SHPCINAMBO;CINAMBO;CINAMBO;BANDUNG;-6,955,919;107,680,431;40296;40294
5984;EXIM_LAMMANDAU;EXIM_LAMMANDAU;MANDAU;MANDAU;BENGKALIS;0;0;28783;28784
5992;SWTKUTA UTARA;SWTKUTA UTARA;KUTA UTARA;KUTA UTARA;BADUNG/BALI;0;0;80363;80361
