Billing Summary ID;Invoice Number;Order Type;Ap No;arNo;Billing From Date;Trace ID;Pallet Type;Tariff ID;Warehouse ID;Customer ID;Bill TO;Paid TO;SKU;LOTNUM;Location Category;Charge Category;Charge Type;Descr;Rate Base;Charge Per Units;QTY;UOM;Cubic;Weight;Charge Rate;Billing Amount;Amount;Cost;Amount Payable;Amount Paid;DOC Type;DOCNO;Kit Sku;DOC Reference1;Material Code;Item Category;Division Code;Notes;Confirm Who;Confirm Time;Settle Who;Settle Time;Follow Up
INV000012*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000012*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000011*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000011*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000011*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000011*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000011*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000010*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000010*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000010*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000010*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000010*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;1000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000009*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;2000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000009*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;2000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000009*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;2000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000009*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;2000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000009*01;;CROSS;*;*;2022-03-10;2203100129;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204659;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;2000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000002;;4902637050;1700000045;X;62;;;;;;
INV000002*01;;CROSS;*;*;2022-03-09;2203090096;;BIL00167;SBYMM;DKJ-SBY;DKJ-SBY;;000000001100013407;0204054;;Handling Out;Handling Out Special;Handling Out Special;PALLET;1;3000;EA;0;0;25000;25000;25000;0;0;0;SO;S000000001;;4902636467;1700000045;X;62;;;;;;
